# label area perimeter xmin xmax ymin ymax
1 1 1 1510 1510 564 564
2 1 1 1617 1617 568 568
3 1 1 1503 1503 573 573
4 1067 291 388 445 574 630
11 1 1 1604 1604 580 580
12 1 1 1608 1608 580 580
14 23 23 1505 1508 581 596
15 5 5 1610 1612 581 583
17 1 1 1615 1615 582 582
20 14 12 1536 1541 583 585
23 93 61 1387 1419 585 591
35 1 1 1509 1509 601 601
36 1360 329 1677 1742 603 663
46 2 2 1642 1643 611 611
51 1 1 1652 1652 614 614
56 2 2 1653 1653 616 617
70 1 1 890 890 627 627
71 1 1 889 889 628 628
74 3 3 890 890 632 634
75 1 1 1316 1316 632 632
76 4 4 1301 1304 633 633
77 3 3 1297 1299 634 634
78 1075 297 386 443 638 696
98 2 2 1348 1348 652 653
107 1 1 545 545 657 657
108 16 16 1254 1264 657 658
109 2 2 1347 1347 657 658
113 1 1 1301 1301 659 659
114 1 1 543 543 660 660
115 3 3 1399 1400 661 662
117 1 1 1247 1247 666 666
118 4783 1137 1601 1749 667 820
119 45 27 1663 1669 668 679
131 1 1 1625 1625 675 675
136 1 1 1673 1673 679 679
140 20 14 1640 1644 681 686
146 1 1 1174 1174 683 683
153 42 32 1665 1681 686 690
159 50 27 1647 1656 688 697
162 14 14 1163 1166 689 697
166 22 19 1674 1681 693 698
170 173 64 1165 1184 698 718
172 1 1 1046 1046 699 699
175 1 1 1674 1674 699 699
178 1 1 1062 1062 701 701
179 3 3 1067 1068 701 702
183 1 1 1570 1570 702 702
184 2 2 1099 1100 703 703
185 7 7 1571 1577 703 703
187 3 3 1049 1050 704 705
188 8 8 1118 1119 704 707
189 3 3 1677 1679 704 704
190 7 7 1128 1129 705 709
191 2 2 1680 1681 705 705
193 449 114 1527 1564 706 730
195 414 79 1567 1587 706 733
201 1 1 1058 1058 708 708
206 6 6 1567 1570 709 710
215 260 89 804 826 712 737
222 7 6 1166 1168 715 717
226 1 1 1749 1749 715 715
227 15 12 1099 1101 716 720
234 1541 344 1729 1797 718 773
235 1323 419 1441 1508 719 798
241 1 1 1 1 721 721
245 1 1 1918 1918 721 721
246 2 2 0 4095 722 722
247 457 144 1231 1252 722 760
250 228 103 1281 1306 723 746
256 15 13 1555 1561 724 726
261 268 66 1391 1410 725 743
265 4 4 1543 1544 726 727
276 1 1 1538 1538 728 728
277 1 1 1542 1542 728 728
278 1620 308 1125 1235 729 761
282 69 44 1317 1332 730 738
294 10 8 791 793 733 736
299 507 210 1331 1359 733 775
307 1 1 1428 1428 734 734
317 3 3 822 824 737 737
318 327 79 1263 1276 737 766
325 80 32 1106 1121 739 745
332 1 1 1316 1316 739 739
347 11 10 1662 1666 741 745
354 99 50 1386 1397 743 762
366 2 2 1797 1797 745 746
372 2 2 1365 1365 747 748
376 221 88 1289 1304 749 771
380 290 140 1387 1408 750 786
389 3 3 1358 1359 752 753
390 1 1 1365 1365 752 752
427 288 96 945 989 758 766
439 8 8 1733 1737 759 762
442 265 94 1031 1076 760 767
443 2 2 1258 1258 760 761
454 29 17 1485 1492 761 766
467 1 1 1443 1443 764 764
483 1 1 1079 1079 768 768
487 4 4 1367 1368 769 771
507 1 1 1774 1774 775 775
510 6 6 1751 1753 776 777
513 2 2 1386 1387 778 778
516 2 2 1757 1758 778 778
524 1 1 1443 1443 781 781
530 3 3 1419 1419 783 785
532 2 2 1424 1424 784 785
535 1 1 1442 1442 785 785
541 2 2 1443 1443 787 788
556 9 9 1322 1326 794 795
557 11 9 1331 1333 796 800
560 35 20 1352 1361 799 805
567 73 29 1378 1387 804 814
577 240 73 1410 1431 810 827
586 26 25 1447 1451 820 829
587 300 115 1460 1486 820 840
588 1 1 1457 1457 821 821
592 2 2 1432 1433 824 824
593 85 33 950 964 825 836
597 96 33 1054 1067 827 840
600 600 186 1504 1560 828 859
615 905 199 1577 1639 844 870
627 1812 625 1687 1888 866 932
628 1 1 1686 1686 868 868
629 23 19 1703 1712 868 871
633 2 2 1608 1609 872 872
645 16 16 1766 1776 881 883
650 80 74 1784 1827 886 897
651 1 1 1689 1689 889 889
655 3 3 1829 1831 898 898
656 3 3 1833 1835 899 899
657 128 101 1836 1887 900 912
658 5 5 1823 1827 901 901
660 2 2 1815 1816 902 902
661 1 1 1832 1832 902 902
663 4 4 1804 1807 903 903
664 1 1 1834 1834 903 903
674 2 2 0 1 917 917
676 1 1 1887 1887 917 917
