# label area perimeter xmin xmax ymin ymax width height spatial_area pass_area pass_dims pass_pix_area pass_aspect pass_circ pass_fill pass_fill_min
118 4784 1138 1601 1749 667 820 149 154 22946 1 1 1 1 0 1 0
627 1812 625 1687 1888 866 932 202 67 13534 1 1 1 0 0 1 0
278 1635 323 1125 1235 729 761 111 33 3663 1 1 1 0 1 1 1
234 1541 344 1729 1797 718 773 69 56 3864 1 1 1 1 1 1 1
36 1360 329 1677 1742 603 663 66 61 4026 1 1 1 1 1 1 1
235 1322 418 1441 1508 719 798 68 80 5440 1 1 1 1 0 1 1
78 1075 297 386 443 638 696 58 59 3422 1 1 1 1 1 1 1
4 1067 291 388 445 574 630 58 57 3306 1 1 1 1 1 1 1
615 905 199 1577 1639 844 870 63 27 1701 1 0 1 0 1 1 1
600 600 186 1504 1560 828 859 57 32 1824 1 1 1 0 1 1 1
299 507 210 1331 1359 733 775 29 43 1247 1 0 1 0 1 1 1
193 449 114 1527 1564 706 730 38 25 950 1 0 1 0 1 1 1
247 442 129 1232 1252 722 760 21 39 819 1 0 1 0 1 1 1
195 414 79 1567 1587 706 733 21 28 588 1 0 1 1 1 0 1
318 327 79 1263 1276 737 766 14 30 420 1 0 1 0 1 0 1
587 300 115 1460 1486 820 840 27 21 567 1 0 0 1 1 1 1
380 289 139 1387 1408 750 786 22 37 814 1 0 0 0 1 1 1
427 288 96 945 989 758 766 45 9 405 1 0 0 0 1 0 1
261 268 66 1391 1410 725 743 20 19 380 1 0 0 1 1 0 1
442 265 94 1031 1076 760 767 46 8 368 1 0 0 0 1 0 1
215 260 89 804 826 712 737 23 26 598 1 0 0 1 1 1 1
577 240 73 1410 1431 810 827 22 18 396 1 0 0 1 1 0 1
250 228 103 1281 1306 723 746 26 24 624 1 0 0 1 1 1 1
376 221 88 1289 1304 749 771 16 23 368 1 0 0 0 1 0 1
170 173 64 1165 1184 698 718 20 21 420 1 0 0 1 1 1 1
657 128 101 1836 1887 900 912 52 13 676 1 0 0 0 1 1 0
354 100 51 1386 1397 743 762 12 20 240 0 0 0 0 1 1 1
597 96 33 1054 1067 827 840 14 14 196 0 0 0 1 1 1 1
