# label area perimeter xmin xmax ymin ymax
1 823 259 813 861 619 669
24 68 26 1268 1276 716 724
26 58 24 1371 1379 717 724
29 141 43 1069 1085 730 741
31 45 21 1212 1219 731 739
32 113 39 982 998 732 740
37 3 3 1301 1302 738 739
38 1 1 1327 1327 738 738
39 2 2 1337 1337 738 739
40 4 4 1346 1347 738 739
42 2 2 1328 1329 739 739
43 2 2 451 452 743 743
44 612 144 1319 1389 775 792
45 42 19 1077 1084 777 784
47 35 17 984 992 778 782
56 33 25 257 265 789 797
58 3 3 271 273 793 793
62 43 21 200 206 803 810
