# label area perimeter xmin xmax ymin ymax width height spatial_area pass_area pass_dims pass_pix_area pass_aspect pass_circ pass_fill pass_fill_min
1 823 259 813 861 619 669 49 51 2499 1 1 1 1 1 1 1
44 612 144 1319 1389 775 792 71 18 1278 1 0 1 0 1 1 1
29 141 43 1069 1085 730 741 17 12 204 0 0 0 0 1 0 1
32 113 39 982 998 732 740 17 9 153 0 0 0 0 1 0 1
24 68 26 1268 1276 716 724 9 9 81 0 0 0 1 1 0 1
26 58 24 1371 1379 717 724 9 8 72 0 0 0 1 1 0 1
31 45 21 1212 1219 731 739 8 9 72 0 0 0 1 1 0 1
62 43 21 200 206 803 810 7 8 56 0 0 0 1 1 0 1
45 42 19 1077 1084 777 784 8 8 64 0 0 0 1 1 0 1
47 35 17 984 992 778 782 9 5 45 0 0 0 0 1 0 1
56 33 25 257 265 789 797 9 9 81 0 0 0 1 1 1 1
40 4 4 1346 1347 738 739 2 2 4 0 0 0 1 1 0 1
37 3 3 1301 1302 738 739 2 2 4 0 0 0 1 1 0 1
58 3 3 271 273 793 793 3 1 3 0 0 0 0 1 0 1
39 2 2 1337 1337 738 739 1 2 2 0 0 0 0 1 0 1
42 2 2 1328 1329 739 739 2 1 2 0 0 0 0 1 0 1
43 2 2 451 452 743 743 2 1 2 0 0 0 0 1 0 1
38 1 1 1327 1327 738 738 1 1 1 0 0 0 1 1 0 1
