# label area perimeter xmin xmax ymin ymax width height spatial_area pass_area pass_dims pass_pix_area pass_aspect pass_circ pass_fill pass_fill_min
2 124886 6133 326 1919 2 208 1593 206 328158 0 1 1 0 0 1 1
599 26710 4393 0 616 514 742 616 228 140448 0 1 1 0 0 1 0
1889 4189 618 1577 1742 722 774 165 52 8580 1 1 1 0 1 1 1
1307 3896 1003 647 837 648 713 190 65 12350 1 1 1 0 0 1 1
2206 3692 490 1574 1741 793 834 167 41 6847 1 1 1 0 1 1 1
1893 3391 628 1067 1270 723 770 203 47 9541 1 1 1 0 1 1 1
1926 3308 636 977 1096 729 795 119 66 7854 1 1 1 1 1 1 1
839 3191 961 630 781 582 661 151 79 11929 1 1 1 0 0 1 1
1693 3171 670 1583 1792 692 720 209 28 5852 1 0 1 0 0 1 1
1309 3009 953 833 1018 648 721 185 73 13505 1 1 1 0 0 1 1
1288 2974 577 1059 1180 645 719 121 74 8954 1 1 1 0 1 1 1
420 2750 765 1322 1428 351 537 106 186 19716 1 1 1 0 0 1 0
958 1988 404 857 1011 603 639 154 36 5544 1 1 1 0 1 1 1
2070 1773 338 864 961 754 788 97 34 3298 1 1 1 0 1 1 1
924 1632 440 1284 1387 598 664 103 66 6798 1 1 1 0 1 1 1
878 1446 356 1115 1177 588 661 62 73 4526 1 1 1 1 1 1 1
2057 835 274 1724 1786 751 778 62 27 1674 1 0 1 0 1 1 1
1597 650 300 1214 1278 680 710 64 30 1920 1 0 1 0 0 1 1
414 637 153 898 970 343 354 72 11 792 1 0 1 0 1 0 1
1744 512 156 1813 1861 696 715 48 19 912 1 0 1 0 1 1 1
775 502 172 1571 1605 568 608 34 40 1360 1 1 1 1 1 1 1
1 491 98 707 736 2 24 29 22 638 1 0 1 1 1 0 1
868 491 135 1019 1055 587 620 36 33 1188 1 1 1 1 1 1 1
2096 448 167 625 661 759 792 36 33 1188 1 1 1 1 1 1 1
1023 436 194 1250 1291 616 642 41 26 1066 1 0 1 0 1 1 1
709 431 245 1410 1493 553 601 83 48 3984 1 1 1 0 0 1 0
364 424 152 257 325 202 215 68 13 884 1 0 1 0 1 1 1
390 390 235 59 179 223 242 120 19 2280 1 0 1 0 0 1 0
771 388 91 1547 1573 567 593 26 26 676 1 0 1 1 1 1 1
1576 375 197 1292 1350 677 699 58 22 1276 1 0 1 0 1 1 1
502 366 128 1331 1366 407 437 35 30 1050 1 0 1 1 1 1 1
739 362 192 1652 1719 559 592 67 33 2211 1 1 1 0 1 1 0
642 354 164 1111 1141 532 568 30 36 1080 1 0 1 1 1 1 1
1924 346 132 872 920 729 753 48 24 1152 1 0 1 0 1 1 1
2160 340 85 587 616 772 790 29 18 522 1 0 1 0 1 0 1
1057 306 121 1052 1096 620 638 44 18 792 1 0 0 0 1 1 1
375 296 158 180 256 211 223 76 12 912 1 0 0 0 1 1 1
1336 292 118 771 813 651 664 42 13 546 1 0 0 0 1 1 1
1386 292 87 1682 1701 655 677 19 22 418 1 0 0 1 1 0 1
