# label area perimeter xmin xmax ymin ymax width height spatial_area pass_area pass_dims pass_pix_area pass_aspect pass_circ pass_fill pass_fill_min
2557 105587 9869 0 1919 917 1069 1920 153 293760 0 1 1 0 0 1 1
325 19636 2529 359 736 486 667 378 182 68796 1 1 1 0 0 1 1
375 17885 2097 81 348 508 642 268 135 36180 1 1 1 1 0 1 1
1372 11386 1328 351 617 652 747 267 96 25632 1 1 1 0 0 1 1
1 9756 2018 1717 1916 2 526 200 525 105000 0 1 1 0 0 1 0
1893 7609 1425 2 233 839 916 232 78 18096 1 1 1 0 0 1 1
60 5811 803 1620 1782 71 211 163 141 22983 1 1 1 1 1 1 1
3353 5765 786 17 204 1031 1079 188 49 9212 1 1 1 0 1 0 1
1995 5695 949 683 883 857 924 201 68 13668 1 1 1 0 0 1 1
860 3806 447 1581 1692 589 647 112 59 6608 1 1 1 1 1 1 1
824 3642 459 1462 1569 586 638 108 53 5724 1 1 1 1 1 0 1
3387 3530 805 302 556 1036 1079 255 44 11220 1 1 1 0 0 1 1
1886 2845 802 332 462 835 897 131 63 8253 1 1 1 0 0 1 1
3529 2825 771 977 1202 1048 1079 226 32 7232 1 1 1 0 0 1 1
2153 2216 534 632 751 880 932 120 53 6360 1 1 1 0 0 1 1
793 2021 369 1387 1463 582 654 77 73 5621 1 1 1 1 1 1 1
3466 1920 325 602 691 1042 1079 90 38 3420 1 1 1 0 1 1 1
490 1510 382 1493 1584 531 576 92 46 4232 1 1 1 0 1 1 1
2432 1384 340 359 466 905 934 108 30 3240 1 1 1 0 1 1 1
1882 1348 433 182 271 835 890 90 56 5040 1 1 1 0 0 1 1
508 1172 288 1195 1234 535 594 40 60 2400 1 1 1 1 1 1 1
141 1024 370 377 398 166 350 22 185 4070 1 0 1 0 0 1 1
2063 997 286 266 338 872 899 73 28 2044 1 0 1 0 1 1 1
2175 995 340 887 991 883 909 105 27 2835 1 0 1 0 1 1 1
3480 937 216 842 931 1043 1059 90 17 1530 1 0 1 0 1 0 1
3525 915 170 707 781 1048 1065 75 18 1350 1 0 1 0 1 0 1
2188 899 298 1368 1443 885 924 76 40 3040 1 1 1 0 1 1 1
1531 850 236 728 788 676 702 61 27 1647 1 0 1 0 1 1 1
3668 837 229 1292 1397 1065 1079 106 15 1590 1 0 1 0 1 1 1
1505 799 237 902 989 671 688 88 18 1584 1 0 1 0 1 1 1
1896 794 193 251 323 839 859 73 21 1533 1 0 1 0 1 1 1
1455 776 303 1089 1156 662 701 68 40 2720 1 1 1 0 1 1 1
645 759 204 1625 1705 558 579 81 22 1782 1 0 1 0 1 1 1
3416 721 217 467 556 1037 1062 90 26 2340 1 0 1 0 1 1 1
