STAGE: CCL_STATS
GOLDEN_LABELS: 1455
RTL_LABELS: 1446
MISSING_LABELS_IN_RTL: 9
EXTRA_LABELS_IN_RTL: 0
FIELD_MISMATCHES: 202
STATUS: FAIL

Missing labels in RTL:
3775
3776
3779
3780
3781
3782
3783
3785
3788

Field mismatches (label field golden rtl):
60 area 5811 5802
60 perimeter 803 794
127 area 27 32
127 perimeter 16 21
127 xmin 1772 1771
146 area 15 19
146 perimeter 14 18
146 xmin 1692 1691
224 area 27 29
224 perimeter 27 29
227 area 129 127
227 perimeter 102 100
325 area 19636 19634
325 perimeter 2529 2527
346 area 128 135
346 perimeter 86 93
346 xmin 349 348
375 area 17885 17878
375 perimeter 2097 2090
575 area 22 20
575 perimeter 22 20
575 xmax 1919 1918
576 area 4 6
576 perimeter 4 6
576 xmax 1 4095
642 area 22 24
642 perimeter 15 17
642 xmin 731 730
793 area 2021 2024
793 perimeter 369 372
793 xmin 1387 1386
874 area 85 87
874 perimeter 44 46
874 xmin 1372 1371
899 area 594 593
899 perimeter 155 154
899 xmax 1068 1067
928 area 42 40
928 perimeter 35 33
928 xmax 1371 1370
961 area 101 102
961 perimeter 39 40
961 xmin 1069 1068
965 area 25 26
965 perimeter 17 18
965 xmin 1298 1297
1015 area 325 324
1015 perimeter 141 140
1015 xmax 1297 1296
1270 area 303 300
1270 perimeter 136 133
1270 xmax 1386 1385
1372 area 11386 11385
1372 perimeter 1328 1327
1473 area 57 59
1473 perimeter 40 42
1473 xmin 1202 1201
1513 area 75 73
1513 perimeter 46 44
1531 area 850 844
1531 perimeter 236 230
1531 xmax 788 787
1541 area 45 51
1541 perimeter 34 40
1551 area 88 89
1551 perimeter 59 60
1551 xmin 587 586
1882 area 1348 1351
1882 perimeter 433 436
1893 area 7609 7603
1893 perimeter 1425 1419
1893 xmax 233 232
1896 area 794 797
1896 perimeter 193 196
2175 area 995 994
2175 perimeter 340 339
2220 area 79 80
2220 perimeter 48 49
2220 xmin 977 976
2249 area 653 655
2249 perimeter 202 204
2328 area 18 21
2328 perimeter 13 16
2328 xmin 482 481
2432 area 1384 1379
2432 perimeter 340 335
2525 xmin 1919 4095
2525 xmax 1919 4095
2525 ymin 913 914
2525 ymax 913 914
2557 area 105587 105559
2557 perimeter 9869 9863
2557 xmax 1919 4095
2557 ymax 1069 1062
2711 area 523 521
2711 perimeter 228 226
2731 area 105 107
2731 perimeter 61 63
3042 area 30 24
3042 perimeter 17 15
3042 xmax 1919 1918
3086 area 31 27
3086 perimeter 20 18
3086 xmax 1919 1918
3310 area 84 101
3310 perimeter 76 93
3310 xmax 20 4095
3353 area 5765 5419
3353 perimeter 786 603
3353 ymax 1079 1077
3369 area 298 300
3369 perimeter 139 141
3369 xmin 1712 1711
3387 area 3530 3279
3387 perimeter 805 675
3387 ymax 1079 1077
3466 area 1920 1832
3466 perimeter 325 279
3466 ymax 1079 1077
3480 area 937 936
3480 perimeter 216 215
3495 area 5 6
3495 perimeter 5 6
3495 xmin 882 881
3519 area 89 90
3519 perimeter 38 39
3519 xmin 452 451
3529 area 2825 2745
3529 perimeter 771 726
3529 ymax 1079 1077
3531 area 2 3
3531 perimeter 2 3
3531 xmin 1066 1065
3540 area 158 177
3540 perimeter 75 94
3540 xmax 16 4095
3573 area 86 87
3573 perimeter 36 37
3573 xmin 1007 1006
3668 area 837 658
3668 perimeter 229 138
3668 xmin 1292 1291
3668 ymax 1079 1077
3670 area 55 41
3670 perimeter 39 28
3670 xmin 1718 1722
3670 ymax 1079 1077
3710 area 35 34
3710 perimeter 31 30
3716 area 98 71
3716 perimeter 45 28
3716 ymax 1079 1077
3717 area 249 189
3717 perimeter 71 39
3717 ymax 1079 1077
3718 area 68 48
3718 perimeter 32 20
3718 ymax 1079 1077
3722 area 178 132
3722 perimeter 71 46
3722 ymax 1079 1077
3730 area 96 74
3730 perimeter 61 42
3730 ymax 1079 1077
3734 area 33 31
3734 perimeter 30 28
3734 ymax 1078 1077
3735 area 54 45
3735 perimeter 30 22
3735 ymax 1079 1077
3736 area 58 55
3736 perimeter 42 39
3736 ymax 1079 1077
3738 area 22 15
3738 perimeter 18 13
3738 ymax 1079 1077
3739 area 43 38
3739 perimeter 26 21
3739 ymax 1079 1077
3749 area 39 35
3749 perimeter 25 21
3749 ymax 1079 1077
3760 area 4 3
3760 perimeter 4 3
3760 ymax 1078 1077
3766 area 57 27
3766 perimeter 34 17
3766 ymax 1079 1077
3769 area 7 2
3769 perimeter 7 2
3769 xmax 1775 1772
3769 ymax 1079 1077
3770 area 9 2
3770 perimeter 9 2
3770 xmin 841 842
3770 xmax 845 843
3770 ymax 1079 1077
3771 area 32 2
3771 perimeter 30 2
3771 xmin 1202 1213
3771 xmax 1216 1214
3771 ymax 1079 1077
