# label area perimeter xmin xmax ymin ymax
1 1432 536 1869 4095 331 514
2 38 38 0 1 332 350
13 556 213 1890 4095 392 433
20 4 4 0 1 400 402
26 45 45 0 1 411 433
33 3 3 1781 1782 434 435
34 3 3 1780 1780 436 438
35 1 1 1802 1802 439 439
36 12 11 1072 1074 488 493
38 133 60 1035 1064 493 500
42 1 1 1484 1484 496 496
46 15 15 1017 1027 500 502
49 1918 421 224 305 510 586
55 3 3 1882 1882 518 520
64 417 104 456 477 534 567
68 1813 384 1486 1557 537 616
77 2 2 1884 1884 546 547
85 23 21 1885 1889 554 565
95 40 25 1600 1608 563 570
103 2 2 1597 1598 566 566
105 1 1 1890 1890 566 566
115 3 3 1586 1588 575 575
116 14 14 1603 1610 575 576
131 1 1 1756 1756 599 599
132 1 1 1757 1757 600 600
133 1 1 1759 1759 601 601
140 353 65 150 174 607 628
150 40 38 492 517 635 638
151 1 1 533 533 635 635
153 12 12 524 531 636 637
154 2 2 538 539 636 636
156 1 1 685 685 670 670
157 81 56 611 616 676 704
158 93 46 673 685 676 687
162 170 64 123 153 679 685
165 4 4 1288 1291 684 684
166 4 4 1285 1287 685 686
167 43 33 1294 1301 685 699
169 31 18 281 288 695 699
170 3 3 1172 1172 695 697
176 1 1 1173 1173 699 699
178 7 7 1288 1294 700 700
180 104 38 155 173 703 709
183 90 35 914 923 708 719
184 309 73 90 114 716 738
187 1485 442 1428 1508 721 772
195 61 24 1202 1211 725 734
204 134 75 187 209 729 739
212 2 2 150 151 733 733
213 1 1 144 144 734 734
218 56 29 922 935 737 741
219 62 26 828 839 738 744
221 60 27 957 969 738 743
222 13 13 136 146 739 741
223 66 28 876 886 739 747
228 27 16 1129 1133 740 746
229 7 6 1457 1459 740 742
230 53 22 1157 1165 741 748
232 138 57 980 1007 742 748
235 159 58 1028 1055 743 750
243 1 1 1494 1494 745 745
245 60 33 1474 1492 746 751
246 1 1 1493 1493 746 746
250 14 12 1126 1129 749 753
254 1 1 58 58 756 756
255 2 2 59 59 758 759
256 7 7 60 62 760 762
257 13 10 197 199 762 766
258 16 10 1306 1310 763 767
261 5 5 63 67 766 766
262 1 1 1024 1024 766 766
263 1 1 1029 1029 766 766
265 1 1 36 36 770 770
266 302 69 187 213 770 787
267 1 1 35 35 771 771
269 7 7 32 34 772 776
270 1 1 46 46 772 772
275 6 6 51 51 774 779
277 2767 309 436 531 774 838
285 1 1 30 30 779 779
287 1 1 29 29 780 780
291 34 18 1041 1047 781 787
292 1 1 26 26 782 782
298 24 14 1710 1715 784 789
300 1 1 24 24 787 787
302 1068 137 178 226 792 835
310 7 7 308 311 804 806
314 2 2 369 370 807 807
315 7 7 376 378 807 809
317 1 1 371 371 808 808
322 3 3 342 342 812 814
338 90 90 1259 1348 0 0
340 4 4 1339 1342 1078 1078
343 4 4 18 21 0 0
344 177 177 28 204 0 0
345 561 561 210 770 0 0
346 32 32 776 807 0 0
347 142 142 813 954 0 0
348 156 156 960 1115 0 0
349 133 133 1121 1253 0 0
