# label area perimeter xmin xmax ymin ymax width height spatial_area pass_area pass_dims pass_pix_area pass_aspect pass_circ pass_fill pass_fill_min
277 2767 309 436 531 774 838 96 65 6240 1 1 1 1 1 1 1
49 1918 421 224 305 510 586 82 77 6314 1 1 1 1 1 1 1
68 1813 384 1486 1557 537 616 72 80 5760 1 1 1 1 1 1 1
187 1485 442 1428 1508 721 772 81 52 4212 1 1 1 0 0 1 1
1 1432 519 1869 1919 331 514 51 184 9384 1 1 1 0 0 1 0
302 1068 137 178 226 792 835 49 44 2156 1 1 1 1 1 1 1
13 556 198 1890 1919 392 433 30 42 1260 1 0 1 0 1 1 1
64 417 104 456 477 534 567 22 34 748 1 0 1 0 1 1 1
140 353 65 150 174 607 628 25 22 550 1 0 1 1 1 0 1
184 309 73 90 114 716 738 25 23 575 1 0 0 1 1 1 1
266 302 69 187 213 770 787 27 18 486 1 0 0 0 1 0 1
162 170 64 123 153 679 685 31 7 217 0 0 0 0 1 0 1
235 159 58 1028 1055 743 750 28 8 224 0 0 0 0 1 0 1
232 138 57 980 1007 742 748 28 7 196 0 0 0 0 1 0 1
204 134 75 187 209 729 739 23 11 253 0 0 0 0 1 1 1
38 133 60 1035 1064 493 500 30 8 240 0 0 0 0 1 1 1
180 104 38 155 173 703 709 19 7 133 0 0 0 0 1 0 1
158 93 46 673 685 676 687 13 12 156 0 0 0 1 1 1 1
183 90 35 914 923 708 719 10 12 120 0 0 0 1 1 0 1
157 81 56 611 616 676 704 6 29 174 0 0 0 0 1 1 1
223 66 28 876 886 739 747 11 9 99 0 0 0 1 1 0 1
219 62 26 828 839 738 744 12 7 84 0 0 0 0 1 0 1
195 61 24 1202 1211 725 734 10 10 100 0 0 0 1 1 0 1
221 60 27 957 969 738 743 13 6 78 0 0 0 0 1 0 1
245 60 33 1474 1492 746 751 19 6 114 0 0 0 0 1 1 1
218 56 29 922 935 737 741 14 5 70 0 0 0 0 1 0 1
230 53 22 1157 1165 741 748 9 8 72 0 0 0 1 1 0 1
26 45 45 0 1 411 433 2 23 46 0 0 0 0 1 0 1
167 43 33 1294 1301 685 699 8 15 120 0 0 0 0 1 1 1
95 40 25 1600 1608 563 570 9 8 72 0 0 0 1 1 1 1
150 40 38 492 517 635 638 26 4 104 0 0 0 0 1 1 1
2 38 38 0 1 332 350 2 19 38 0 0 0 0 1 0 1
291 34 18 1041 1047 781 787 7 7 49 0 0 0 1 1 0 1
169 31 18 281 288 695 699 8 5 40 0 0 0 0 1 0 1
228 27 16 1129 1133 740 746 5 7 35 0 0 0 0 1 0 1
298 24 14 1710 1715 784 789 6 6 36 0 0 0 1 1 0 1
85 23 21 1885 1889 554 565 5 12 60 0 0 0 0 1 1 1
258 16 10 1306 1310 763 767 5 5 25 0 0 0 1 1 0 1
46 15 15 1017 1027 500 502 11 3 33 0 0 0 0 1 1 1
116 14 14 1603 1610 575 576 8 2 16 0 0 0 0 1 0 1
250 14 12 1126 1129 749 753 4 5 20 0 0 0 1 1 0 1
222 13 13 136 146 739 741 11 3 33 0 0 0 0 1 1 1
257 13 10 197 199 762 766 3 5 15 0 0 0 0 1 0 1
340 13 13 1336 1344 1078 1079 9 2 18 0 0 0 0 1 0 1
36 12 11 1072 1074 488 493 3 6 18 0 0 0 0 1 0 1
153 12 12 524 531 636 637 8 2 16 0 0 0 0 1 0 1
178 7 7 1288 1294 700 700 7 1 7 0 0 0 0 1 0 1
229 7 6 1457 1459 740 742 3 3 9 0 0 0 1 1 0 1
256 7 7 60 62 760 762 3 3 9 0 0 0 1 1 0 1
269 7 7 32 34 772 776 3 5 15 0 0 0 0 1 1 1
310 7 7 308 311 804 806 4 3 12 0 0 0 1 1 1 1
315 7 7 376 378 807 809 3 3 9 0 0 0 1 1 0 1
275 6 6 51 51 774 779 1 6 6 0 0 0 0 1 0 1
261 5 5 63 67 766 766 5 1 5 0 0 0 0 1 0 1
20 4 4 0 1 400 402 2 3 6 0 0 0 0 1 0 1
165 4 4 1288 1291 684 684 4 1 4 0 0 0 0 1 0 1
166 4 4 1285 1287 685 686 3 2 6 0 0 0 0 1 0 1
33 3 3 1781 1782 434 435 2 2 4 0 0 0 1 1 0 1
34 3 3 1780 1780 436 438 1 3 3 0 0 0 0 1 0 1
55 3 3 1882 1882 518 520 1 3 3 0 0 0 0 1 0 1
115 3 3 1586 1588 575 575 3 1 3 0 0 0 0 1 0 1
170 3 3 1172 1172 695 697 1 3 3 0 0 0 0 1 0 1
322 3 3 342 342 812 814 1 3 3 0 0 0 0 1 0 1
