# label area perimeter xmin xmax ymin ymax
1 111 37 1705 1717 533 542
3 9126 911 1414 1537 541 630
10 6 6 1559 1563 546 547
20 2 2 1860 1861 568 568
21 1 1 1889 1889 568 568
22 2 2 1893 1893 569 570
23 16 12 1433 1435 570 575
25 1 1 1843 1843 571 571
26 6 6 1864 1866 571 573
27 11 10 1889 1892 571 574
37 4 4 1885 1887 575 576
39 1 1 1874 1874 577 577
40 5 5 1879 1882 577 578
42 1 1 1842 1842 578 578
44 4 4 1568 1568 579 582
45 3 3 1836 1838 580 580
47 2 2 1834 1835 581 581
48 2 2 1830 1830 582 583
49 5 5 1554 1554 584 588
50 38 24 1740 1752 584 588
54 3 3 1555 1556 589 590
57 398 183 641 678 600 638
60 173 62 866 890 602 619
63 1 1 490 490 606 606
64 3 3 498 498 607 609
70 571 192 283 323 611 650
104 1 1 1560 1560 637 637
106 2 2 653 653 639 640
109 1 1 642 642 648 648
110 3 3 643 645 649 649
111 4 4 669 672 649 649
112 3 3 677 678 649 650
113 16 12 309 312 650 653
114 3 3 301 301 651 653
115 2 2 285 286 659 659
116 17 17 301 317 659 659
117 1 1 1165 1165 659 659
118 2 2 296 297 660 660
119 3 3 319 321 660 660
120 879 118 1163 1191 663 700
123 1 1 766 766 666 666
125 1 1 1222 1222 666 666
126 1 1 1146 1146 668 668
128 1 1 1151 1151 672 672
129 40 24 872 881 674 681
131 77 41 433 452 677 681
133 75 46 751 761 679 692
137 85 54 201 228 682 687
138 168 49 867 882 683 701
139 5 5 1144 1146 683 684
140 4 4 883 884 684 686
148 35 23 1146 1154 693 700
149 7 6 1139 1142 694 696
153 2 2 309 310 701 701
154 3 3 318 320 701 701
155 1 1 304 304 702 702
156 88 32 781 794 703 711
158 1 1 302 302 705 705
160 58 22 994 1003 705 713
161 1 1 321 321 706 706
163 65 27 736 749 708 714
165 1 1 329 329 709 709
166 3 3 327 328 710 711
168 32 25 107 119 711 715
171 6 6 321 325 712 713
172 11 9 313 317 713 716
174 41 19 798 807 713 719
176 1 1 125 125 715 715
177 1 1 129 129 715 715
178 35 27 291 300 715 725
180 16 12 1170 1174 715 719
181 1 1 255 255 716 716
187 1 1 290 290 719 719
189 104 36 713 729 720 728
190 65 47 750 762 720 728
194 2 2 789 790 722 722
195 5 5 793 794 722 724
199 33 19 967 975 723 727
200 38 21 1132 1140 723 728
202 113 37 921 936 724 733
203 12 11 939 943 724 727
206 51 23 772 781 725 731
209 2 2 297 297 726 727
212 4 4 1067 1068 726 728
213 2 2 123 124 727 727
216 7 7 291 295 728 730
217 1 1 296 296 728 728
219 96 45 1000 1021 728 732
220 117 47 1035 1057 728 734
221 3 3 757 759 729 729
222 89 48 800 815 729 742
230 102 46 867 883 732 743
233 162 76 1394 1405 736 771
238 1974 546 301 571 740 751
247 458 90 545 585 783 800
252 17 11 290 294 788 792
259 4 4 382 385 794 794
260 13 13 391 403 794 794
262 3 3 409 411 795 795
263 21 21 420 440 795 795
264 2 2 453 454 796 796
265 36 20 403 410 864 868
