# label area perimeter xmin xmax ymin ymax width height spatial_area pass_area pass_dims pass_pix_area pass_aspect pass_circ pass_fill pass_fill_min
3 9126 911 1414 1537 541 630 124 90 11160 1 1 1 1 1 0 1
238 1974 546 301 571 740 751 271 12 3252 1 0 1 0 0 0 1
120 879 118 1163 1191 663 700 29 38 1102 1 0 1 1 1 0 1
70 571 192 283 323 611 650 41 40 1640 1 1 1 1 1 1 1
247 458 90 545 585 783 800 41 18 738 1 0 1 0 1 0 1
57 398 183 641 678 600 638 38 39 1482 1 1 1 1 1 1 1
60 173 62 866 890 602 619 25 18 450 1 0 0 0 1 1 1
138 168 49 867 882 683 701 16 19 304 1 0 0 1 1 1 1
233 162 76 1394 1405 736 771 12 36 432 1 0 0 0 1 1 1
220 117 47 1035 1057 728 734 23 7 161 0 0 0 0 1 0 1
202 113 37 921 936 724 733 16 10 160 0 0 0 0 1 0 1
1 111 37 1705 1717 533 542 13 10 130 0 0 0 1 1 0 1
189 104 36 713 729 720 728 17 9 153 0 0 0 0 1 0 1
230 102 46 867 883 732 743 17 12 204 0 0 0 0 1 1 1
219 96 45 1000 1021 728 732 22 5 110 0 0 0 0 1 0 1
222 89 48 800 815 729 742 16 14 224 0 0 0 1 1 1 1
156 88 32 781 794 703 711 14 9 126 0 0 0 0 1 0 1
137 85 54 201 228 682 687 28 6 168 0 0 0 0 1 1 1
131 77 41 433 452 677 681 20 5 100 0 0 0 0 1 0 1
133 75 46 751 761 679 692 11 14 154 0 0 0 1 1 1 1
163 65 27 736 749 708 714 14 7 98 0 0 0 0 1 0 1
190 65 47 750 762 720 728 13 9 117 0 0 0 0 1 1 1
160 58 22 994 1003 705 713 10 9 90 0 0 0 1 1 0 1
206 51 23 772 781 725 731 10 7 70 0 0 0 0 1 0 1
174 41 19 798 807 713 719 10 7 70 0 0 0 0 1 1 1
129 40 24 872 881 674 681 10 8 80 0 0 0 1 1 1 1
50 38 24 1740 1752 584 588 13 5 65 0 0 0 0 1 1 1
200 38 21 1132 1140 723 728 9 6 54 0 0 0 0 1 0 1
265 36 20 403 410 864 868 8 5 40 0 0 0 0 1 0 1
148 35 23 1146 1154 693 700 9 8 72 0 0 0 1 1 1 1
178 35 27 291 300 715 725 10 11 110 0 0 0 1 1 1 1
199 33 19 967 975 723 727 9 5 45 0 0 0 0 1 0 1
168 32 25 107 119 711 715 13 5 65 0 0 0 0 1 1 1
263 21 21 420 440 795 795 21 1 21 0 0 0 0 1 0 1
116 17 17 301 317 659 659 17 1 17 0 0 0 0 1 0 1
252 17 11 290 294 788 792 5 5 25 0 0 0 1 1 0 1
23 16 12 1433 1435 570 575 3 6 18 0 0 0 0 1 0 1
113 16 12 309 312 650 653 4 4 16 0 0 0 1 1 0 1
180 16 12 1170 1174 715 719 5 5 25 0 0 0 1 1 0 1
260 13 13 391 403 794 794 13 1 13 0 0 0 0 1 0 1
203 12 11 939 943 724 727 5 4 20 0 0 0 1 1 1 1
27 11 10 1889 1892 571 574 4 4 16 0 0 0 1 1 0 1
172 11 9 313 317 713 716 5 4 20 0 0 0 1 1 1 1
149 7 6 1139 1142 694 696 4 3 12 0 0 0 1 1 1 1
216 7 7 291 295 728 730 5 3 15 0 0 0 0 1 1 1
10 6 6 1559 1563 546 547 5 2 10 0 0 0 0 1 1 1
26 6 6 1864 1866 571 573 3 3 9 0 0 0 1 1 0 1
171 6 6 321 325 712 713 5 2 10 0 0 0 0 1 1 1
40 5 5 1879 1882 577 578 4 2 8 0 0 0 0 1 0 1
49 5 5 1554 1554 584 588 1 5 5 0 0 0 0 1 0 1
139 5 5 1144 1146 683 684 3 2 6 0 0 0 0 1 0 1
195 5 5 793 794 722 724 2 3 6 0 0 0 0 1 0 1
37 4 4 1885 1887 575 576 3 2 6 0 0 0 0 1 0 1
44 4 4 1568 1568 579 582 1 4 4 0 0 0 0 1 0 1
111 4 4 669 672 649 649 4 1 4 0 0 0 0 1 0 1
140 4 4 883 884 684 686 2 3 6 0 0 0 0 1 0 1
212 4 4 1067 1068 726 728 2 3 6 0 0 0 0 1 0 1
259 4 4 382 385 794 794 4 1 4 0 0 0 0 1 0 1
