# label area perimeter xmin xmax ymin ymax width height spatial_area pass_area pass_dims pass_pix_area pass_aspect pass_circ pass_fill pass_fill_min
145 4027 1378 115 796 1011 1046 682 36 24552 1 1 1 0 0 1 0
140 3312 1236 992 1606 1006 1018 615 13 7995 1 0 1 0 0 1 1
47 2043 192 1205 1276 517 549 72 33 2376 1 1 1 1 1 0 1
69 517 169 1103 1125 629 671 23 43 989 1 0 1 0 1 1 1
11 269 99 1701 1717 396 429 17 34 578 1 0 0 0 1 1 1
120 179 76 779 807 832 856 29 25 725 1 0 0 1 1 1 1
28 171 53 1680 1696 418 434 17 17 289 0 0 0 1 1 1 1
92 117 42 756 775 678 685 20 8 160 0 0 0 0 1 0 1
81 100 37 1222 1229 647 661 8 15 120 0 0 0 0 1 0 1
55 87 58 287 292 538 571 6 34 204 0 0 0 0 1 1 1
111 77 39 810 826 816 827 17 12 204 0 0 0 0 1 1 1
86 72 26 1223 1230 670 681 8 12 96 0 0 0 0 1 0 1
100 71 28 1224 1231 689 700 8 12 96 0 0 0 0 1 0 1
3 67 31 954 963 255 267 10 13 130 0 0 0 1 1 1 1
93 66 28 709 721 679 685 13 7 91 0 0 0 0 1 0 1
143 65 38 902 920 1009 1013 19 5 95 0 0 0 0 1 0 1
136 42 36 767 782 854 859 16 6 96 0 0 0 0 1 1 1
76 40 19 1210 1216 640 647 7 8 56 0 0 0 1 1 0 1
39 39 26 287 291 478 492 5 15 75 0 0 0 0 1 1 1
66 31 23 1097 1109 623 626 13 4 52 0 0 0 0 1 1 1
53 26 17 288 292 526 533 5 8 40 0 0 0 0 1 0 1
13 23 21 1690 1696 398 404 7 7 49 0 0 0 1 1 1 1
23 23 16 1667 1672 407 412 6 6 36 0 0 0 1 1 0 1
4 21 14 921 925 257 262 5 6 30 0 0 0 1 1 0 1
106 19 17 1794 1801 752 755 8 4 32 0 0 0 0 1 1 1
37 18 14 288 290 467 474 3 8 24 0 0 0 0 1 0 1
20 16 16 1682 1689 404 406 8 3 24 0 0 0 0 1 0 1
61 15 13 288 291 585 590 4 6 24 0 0 0 0 1 0 1
166 15 15 1637 1651 1021 1021 15 1 15 0 0 0 0 1 0 1
1 13 9 936 940 249 252 5 4 20 0 0 0 1 1 0 1
65 11 9 1097 1100 607 609 4 3 12 0 0 0 1 1 0 1
42 10 10 289 290 495 500 2 6 12 0 0 0 0 1 0 1
45 10 10 289 291 514 519 3 6 18 0 0 0 0 1 1 1
133 8 8 773 778 851 853 6 3 18 0 0 0 0 1 1 1
60 6 6 289 291 572 574 3 3 9 0 0 0 1 1 0 1
7 5 5 969 970 284 286 2 3 6 0 0 0 0 1 0 1
91 5 5 1112 1113 677 679 2 3 6 0 0 0 0 1 0 1
99 5 5 1112 1113 689 691 2 3 6 0 0 0 0 1 0 1
8 4 4 975 976 287 289 2 3 6 0 0 0 0 1 0 1
44 4 4 291 291 507 510 1 4 4 0 0 0 0 1 0 1
105 3 3 1787 1788 750 751 2 2 4 0 0 0 1 1 0 1
109 3 3 1788 1789 756 757 2 2 4 0 0 0 1 1 0 1
10 1 1 975 975 293 293 1 1 1 0 0 0 1 1 0 1
36 1 1 289 289 450 450 1 1 1 0 0 0 1 1 0 1
64 1 1 292 292 592 592 1 1 1 0 0 0 1 1 0 1
89 1 1 1096 1096 673 673 1 1 1 0 0 0 1 1 0 1
104 1 1 763 763 700 700 1 1 1 0 0 0 1 1 0 1
110 1 1 1787 1787 758 758 1 1 1 0 0 0 1 1 0 1
