# label area perimeter xmin xmax ymin ymax
1 2801 649 15 105 427 552
50 71 68 56 65 524 540
51 1 1 76 76 524 524
52 54 44 39 48 525 541
54 2 2 75 75 525 526
55 9 9 19 19 527 535
57 34 32 73 80 527 539
58 691 130 1880 1919 527 553
69 20 20 0 1 535 544
72 1 1 81 81 536 536
77 3 3 1795 1796 542 543
79 77 44 1852 1872 543 548
81 39 23 1822 1829 544 551
86 4 4 0 1 548 549
90 1 1 1848 1848 548 548
95 1 1 1880 1880 550 550
97 1 1 1817 1817 551 551
98 2 2 1796 1797 553 553
99 1 1 1891 1891 554 554
100 255 107 1178 1231 568 578
109 226 63 757 774 589 611
113 1 1 1388 1388 617 617
114 4 4 1764 1765 619 621
115 4 4 1867 1867 623 626
116 8 7 1894 1897 624 626
119 3 3 1898 1899 627 628
120 2 2 1887 1887 632 633
121 1729 170 1203 1241 640 692
122 2 2 1892 1893 640 640
129 2 2 1867 1867 646 647
130 1 1 1875 1875 648 648
131 2 2 1872 1873 650 650
132 1 1 1864 1864 652 652
133 4 4 1857 1859 653 654
134 1 1 1862 1862 653 653
135 1 1 1856 1856 655 655
137 216 108 775 801 663 688
140 1 1 680 680 667 667
142 1 1 1136 1136 667 667
143 1 1 1148 1148 667 667
144 29 17 1176 1181 668 674
146 9 9 1673 1677 669 673
147 1 1 1678 1678 669 669
148 108 56 625 644 670 684
150 10 10 682 686 671 672
151 11 11 782 784 671 677
154 1 1 1175 1175 675 675
156 1 1 1174 1174 676 676
157 1 1 1667 1667 676 676
160 1 1 1669 1669 678 678
162 54 36 1913 1919 679 697
164 4 4 1173 1174 680 681
167 1 1 1681 1681 681 681
169 6 6 1168 1170 683 685
171 1 1 137 137 685 685
172 3 3 141 143 685 685
173 60 27 634 644 685 692
176 2 2 145 146 686 686
178 52 34 1173 1187 686 691
181 4 4 147 147 687 690
185 1 1 0 0 690 690
187 1 1 146 146 691 691
188 1 1 1454 1454 691 691
189 111 46 805 819 692 703
191 10 10 1150 1152 693 698
195 3 3 1888 1889 695 696
197 1 1 772 772 696 696
198 5 5 0 1 697 699
199 15 12 1136 1139 702 706
201 18 12 45 48 706 710
202 1 1 270 270 709 709
203 390 114 276 320 709 728
204 15 15 255 262 710 713
206 1 1 287 287 710 710
207 74 33 668 683 710 716
208 62 24 962 969 710 719
210 37 20 452 458 711 717
219 58 28 532 544 716 720
220 1 1 253 253 717 717
223 323 114 1276 1300 717 739
225 1 1 459 459 719 719
228 1 1 252 252 721 721
229 25 16 1167 1173 721 725
230 18 18 260 267 723 730
231 38 21 674 683 723 727
234 1 1 268 268 724 724
237 17 15 248 251 725 732
239 78 30 653 663 725 739
240 5 5 270 271 726 729
248 43 26 271 276 730 740
250 51 24 915 925 730 735
251 25 19 255 259 731 741
253 50 25 949 960 731 735
254 4 4 1068 1069 731 733
256 1 1 285 285 732 732
260 115 34 500 511 733 744
261 1 1 561 561 733 733
263 1 1 265 265 734 734
264 1 1 287 287 734 734
266 76 50 550 567 734 743
267 1 1 564 564 734 734
268 1 1 1062 1062 734 734
272 3 3 565 565 735 737
277 98 36 845 861 736 744
278 114 40 897 912 736 744
280 15 13 243 246 738 744
282 71 27 615 625 738 745
286 3 3 285 287 739 739
287 46 24 473 483 739 744
290 111 54 982 1008 739 743
291 126 52 1026 1051 739 744
298 8 8 257 259 742 746
299 1 1 270 270 742 742
300 2 2 280 281 742 742
302 1 1 279 279 743 743
303 297 91 652 676 744 768
305 336 100 759 788 745 768
308 68 46 242 261 747 759
313 1 1 383 383 752 752
314 1 1 277 277 753 753
315 1 1 276 276 754 754
317 1 1 273 273 757 757
321 1 1 268 268 759 759
325 1 1 701 701 762 762
329 6 6 873 878 765 765
330 33 30 1696 1712 773 776
331 16 16 1723 1738 773 773
332 1 1 1687 1687 774 774
334 1 1 1722 1722 774 774
335 1 1 1043 1043 775 775
337 1 1 1041 1041 776 776
338 594 188 1259 1348 1069 1079
343 29 16 18 23 1074 1079
344 1061 361 28 204 1074 1079
345 3366 1130 210 770 1074 1079
346 192 72 776 807 1074 1079
347 852 292 813 954 1074 1079
348 936 320 960 1115 1074 1079
349 797 273 1121 1253 1074 1079
