# label area perimeter xmin xmax ymin ymax
1 11 10 1914 1917 191 194
3 1 1 1745 1745 211 211
4 1 1 1741 1741 216 216
5 1 1 1742 1742 218 218
6 1 1 1743 1743 220 220
7 1638 649 168 223 541 654
37 79 55 194 202 604 623
38 22 20 183 188 605 614
44 2 2 180 180 612 613
46 106 68 181 185 614 646
49 2 2 200 200 624 625
50 1 1 202 202 626 626
51 1 1 203 203 627 627
52 1 1 205 205 628 628
55 2 2 206 207 629 629
56 1 1 208 208 630 630
57 2 2 199 200 631 631
60 40 23 194 198 635 645
70 1 1 1828 1828 673 673
71 7 7 1508 1510 692 695
72 1 1 1491 1491 697 697
73 1 1 388 388 701 701
74 97 32 1343 1356 701 709
78 3 3 1254 1255 725 726
80 11 11 883 883 751 761
81 34 22 857 867 755 760
85 22 20 1272 1284 767 772
88 14 13 1373 1380 769 772
91 1 1 1372 1372 771 771
92 76 36 938 954 772 777
93 75 31 979 992 772 778
94 494 100 1179 1222 772 786
95 81 32 907 918 773 782
105 21 21 1273 1284 775 777
106 1 1 1285 1285 775 775
107 49 24 769 778 776 781
109 1 1 1372 1372 776 776
110 339 99 416 461 777 788
112 156 60 1021 1049 777 782
113 175 62 1071 1101 777 784
115 3 3 1373 1374 777 778
128 12 11 748 755 781 783
133 170 67 373 405 783 788
140 35 21 1286 1292 787 794
141 24 20 1298 1307 787 793
143 21 17 1311 1319 788 791
144 50 25 1337 1345 788 795
146 5 5 1353 1357 789 789
147 26 20 1365 1370 789 795
151 5 5 1310 1314 794 794
152 14 14 1350 1359 794 795
156 27 20 1323 1332 801 804
157 2 2 1074 1074 803 804
158 2 2 57 58 812 812
159 1 1 59 59 813 813
160 33 17 1027 1034 817 823
163 36 20 1087 1095 819 825
166 23 18 1376 1385 821 825
168 4 4 1389 1392 823 823
169 11 10 1393 1397 824 826
170 2 2 1386 1387 826 826
171 174 95 1403 1455 826 833
173 1 1 1500 1500 832 832
174 41 31 1908 1919 888 894
175 14 14 0 1 889 895
