# label area perimeter xmin xmax ymin ymax width height spatial_area pass_area pass_dims pass_pix_area pass_aspect pass_circ pass_fill pass_fill_min
7 1638 649 168 223 541 654 55 113 6215 1 1 1 0 0 1 1
94 494 100 1179 1222 772 786 43 14 602 1 0 1 0 1 0 1
110 339 99 416 461 777 788 45 11 495 1 0 1 0 1 0 1
113 175 62 1071 1101 777 784 30 7 210 0 0 0 0 1 0 1
171 174 95 1403 1455 826 833 52 7 364 1 0 0 0 1 1 1
133 170 67 373 405 783 788 32 5 160 0 0 0 0 1 0 1
112 156 60 1021 1049 777 782 28 5 140 0 0 0 0 1 0 1
46 106 68 181 185 614 646 4 32 128 0 0 0 0 1 0 1
74 97 32 1343 1356 701 709 13 8 104 0 0 0 0 1 0 1
95 81 32 907 918 773 782 11 9 99 0 0 0 1 1 0 1
37 79 55 194 202 604 623 8 19 152 0 0 0 0 1 1 1
92 76 36 938 954 772 777 16 5 80 0 0 0 0 1 0 1
93 75 31 979 992 772 778 13 6 78 0 0 0 0 1 0 1
144 50 25 1337 1345 788 795 8 7 56 0 0 0 1 1 0 1
107 49 24 769 778 776 781 9 5 45 0 0 0 0 1 0 1
174 41 31 1908 1919 888 894 11 6 66 0 0 0 0 1 0 1
60 40 23 194 198 635 645 4 10 40 0 0 0 0 1 0 1
163 36 20 1087 1095 819 825 8 6 48 0 0 0 1 1 0 1
140 35 21 1286 1292 787 794 6 7 42 0 0 0 1 1 0 1
81 34 22 857 867 755 760 10 5 50 0 0 0 0 1 0 1
160 33 17 1027 1034 817 823 7 6 42 0 0 0 1 1 0 1
156 27 20 1323 1332 801 804 9 3 27 0 0 0 0 1 0 1
147 26 20 1365 1370 789 795 5 6 30 0 0 0 1 1 0 1
141 24 20 1298 1307 787 793 9 6 54 0 0 0 0 1 1 1
166 23 18 1376 1385 821 825 9 4 36 0 0 0 0 1 0 1
38 22 20 183 188 605 614 5 9 45 0 0 0 0 1 1 1
85 22 20 1272 1284 767 772 12 5 60 0 0 0 0 1 1 1
105 21 21 1273 1284 775 777 11 2 22 0 0 0 0 1 0 1
143 21 17 1311 1319 788 791 8 3 24 0 0 0 0 1 0 1
88 14 13 1373 1380 769 772 7 3 21 0 0 0 0 1 0 1
152 14 14 1350 1359 794 795 9 1 9 0 0 0 0 1 0 1
175 14 14 0 1 889 895 1 6 6 0 0 0 0 1 0 1
128 12 11 748 755 781 783 7 2 14 0 0 0 0 1 0 1
1 11 10 1914 1917 191 194 3 3 9 0 0 0 1 1 0 1
80 11 11 883 883 751 761 0 10 0 0 0 0 0 1 0 0
169 11 10 1393 1397 824 826 4 2 8 0 0 0 0 1 0 1
71 7 7 1508 1510 692 695 2 3 6 0 0 0 0 1 0 1
146 5 5 1353 1357 789 789 4 0 0 0 0 0 0 1 0 0
151 5 5 1310 1314 794 794 4 0 0 0 0 0 0 1 0 0
168 4 4 1389 1392 823 823 3 0 0 0 0 0 0 1 0 0
78 3 3 1254 1255 725 726 1 1 1 0 0 0 1 1 0 1
115 3 3 1373 1374 777 778 1 1 1 0 0 0 1 1 0 1
44 2 2 180 180 612 613 0 1 0 0 0 0 0 1 0 0
49 2 2 200 200 624 625 0 1 0 0 0 0 0 1 0 0
55 2 2 206 207 629 629 1 0 0 0 0 0 0 1 0 0
57 2 2 199 200 631 631 1 0 0 0 0 0 0 1 0 0
157 2 2 1074 1074 803 804 0 1 0 0 0 0 0 1 0 0
158 2 2 57 58 812 812 1 0 0 0 0 0 0 1 0 0
170 2 2 1386 1387 826 826 1 0 0 0 0 0 0 1 0 0
3 1 1 1745 1745 211 211 0 0 0 0 0 0 1 1 0 0
4 1 1 1741 1741 216 216 0 0 0 0 0 0 1 1 0 0
5 1 1 1742 1742 218 218 0 0 0 0 0 0 1 1 0 0
6 1 1 1743 1743 220 220 0 0 0 0 0 0 1 1 0 0
50 1 1 202 202 626 626 0 0 0 0 0 0 1 1 0 0
51 1 1 203 203 627 627 0 0 0 0 0 0 1 1 0 0
52 1 1 205 205 628 628 0 0 0 0 0 0 1 1 0 0
56 1 1 208 208 630 630 0 0 0 0 0 0 1 1 0 0
70 1 1 1828 1828 673 673 0 0 0 0 0 0 1 1 0 0
72 1 1 1491 1491 697 697 0 0 0 0 0 0 1 1 0 0
73 1 1 388 388 701 701 0 0 0 0 0 0 1 1 0 0
91 1 1 1372 1372 771 771 0 0 0 0 0 0 1 1 0 0
106 1 1 1285 1285 775 775 0 0 0 0 0 0 1 1 0 0
109 1 1 1372 1372 776 776 0 0 0 0 0 0 1 1 0 0
159 1 1 59 59 813 813 0 0 0 0 0 0 1 1 0 0
173 1 1 1500 1500 832 832 0 0 0 0 0 0 1 1 0 0
