# label area perimeter xmin xmax ymin ymax
1 982 253 1574 1625 630 679
24 317 73 1028 1046 727 750
25 1 1 203 203 728 728
26 16 16 178 185 733 739
27 318 122 971 999 733 757
28 2 2 173 174 734 734
29 537 208 240 293 734 762
30 1 1 175 175 735 735
34 1 1 166 166 737 737
37 1043 130 1053 1100 737 766
38 3 3 163 164 738 739
52 6 5 169 171 742 744
53 29 22 295 304 742 746
56 44 36 172 184 743 751
60 256 112 136 164 744 765
61 2 2 146 147 744 744
67 1 1 310 310 746 746
68 101 33 1006 1017 746 755
69 1 1 149 149 747 747
70 1 1 165 165 747 747
73 25 23 93 102 748 754
74 12 9 955 958 748 752
77 2 2 336 337 749 749
82 1 1 275 275 750 750
83 3 3 131 133 751 751
86 1 1 274 274 751 751
87 4 4 181 181 752 755
89 1 1 165 165 753 753
90 2 2 171 171 753 754
91 64 32 185 197 753 760
94 3 3 220 221 754 755
95 1 1 229 229 754 754
96 18 16 234 240 754 758
98 1 1 97 97 755 755
99 57 34 165 174 755 769
101 4 4 179 180 756 757
103 2 2 172 173 757 757
105 6 6 176 178 759 762
106 7 7 182 184 759 762
107 1 1 202 202 759 759
109 2 2 143 143 760 761
111 1 1 222 222 760 760
112 2 2 227 227 760 761
113 4 4 198 201 761 761
114 6 6 236 237 763 767
115 1 1 132 132 764 764
116 17 14 185 188 764 769
119 2 2 198 199 765 765
120 2 2 219 219 765 766
121 3 3 228 230 766 766
122 15 15 219 225 767 772
123 1 1 227 227 767 767
124 1 1 608 608 767 767
125 8 8 233 236 769 771
127 8 8 250 256 770 771
128 1 1 535 535 770 770
129 1 1 149 149 771 771
130 1 1 173 173 771 771
132 1 1 518 518 771 771
133 2 2 231 232 772 772
134 4 4 519 522 772 772
135 1 1 167 167 773 773
136 2 2 228 229 773 773
137 1 1 180 180 774 774
138 1 1 238 238 776 776
139 11 11 398 404 776 777
140 1 1 737 737 777 777
141 1 1 251 251 778 778
142 1 1 245 245 779 779
143 41 22 1739 1750 787 791
145 1 1 1787 1787 795 795
146 1 1 1807 1807 796 796
