# label area perimeter xmin xmax ymin ymax width height spatial_area pass_area pass_dims pass_pix_area pass_aspect pass_circ pass_fill pass_fill_min
1 2467 560 1614 1675 572 690 62 119 7378 1 1 1 0 0 1 1
12 2380 569 707 767 588 706 61 119 7259 1 1 1 0 0 1 1
145 426 136 840 904 776 784 65 9 585 1 0 1 0 1 0 1
137 425 79 1137 1156 771 802 20 32 640 1 0 1 0 1 0 1
139 367 106 727 776 773 781 50 9 450 1 0 1 0 1 0 1
149 316 79 1296 1311 776 807 16 32 512 1 0 1 0 1 0 1
175 266 91 849 889 869 886 41 18 738 1 0 0 0 1 1 1
71 247 54 1632 1647 650 666 16 17 272 0 0 0 1 1 0 1
89 240 54 719 734 666 681 16 16 256 0 0 0 1 1 0 1
167 154 54 1289 1314 840 847 26 8 208 0 0 0 0 1 0 1
163 150 57 1143 1170 835 841 28 7 196 0 0 0 0 1 0 1
172 130 41 723 741 867 882 19 16 304 1 0 0 1 1 1 1
111 14 13 646 648 689 696 3 8 24 0 0 0 0 1 1 1
124 9 9 527 533 700 702 7 3 21 0 0 0 0 1 1 1
159 8 8 364 371 803 803 8 1 8 0 0 0 0 1 0 1
87 7 7 849 850 662 665 2 4 8 0 0 0 0 1 0 1
116 7 7 652 656 694 696 5 3 15 0 0 0 0 1 1 1
129 6 6 1198 1199 706 708 2 3 6 0 0 0 0 1 0 1
123 4 4 515 516 700 702 2 3 6 0 0 0 0 1 0 1
130 4 4 1203 1204 706 707 2 2 4 0 0 0 1 1 0 1
97 3 3 642 643 673 674 2 2 4 0 0 0 1 1 0 1
133 3 3 1043 1045 724 724 3 1 3 0 0 0 0 1 0 1
186 3 3 858 860 877 877 3 1 3 0 0 0 0 1 0 1
134 2 2 946 946 728 729 1 2 2 0 0 0 0 1 0 1
168 2 2 828 828 841 842 1 2 2 0 0 0 0 1 0 1
170 2 2 805 806 843 843 2 1 2 0 0 0 0 1 0 1
95 1 1 641 641 672 672 1 1 1 0 0 0 1 1 0 1
99 1 1 637 637 675 675 1 1 1 0 0 0 1 1 0 1
101 1 1 643 643 677 677 1 1 1 0 0 0 1 1 0 1
125 1 1 519 519 701 701 1 1 1 0 0 0 1 1 0 1
127 1 1 536 536 701 701 1 1 1 0 0 0 1 1 0 1
128 1 1 532 532 705 705 1 1 1 0 0 0 1 1 0 1
131 1 1 1201 1201 709 709 1 1 1 0 0 0 1 1 0 1
132 1 1 1041 1041 723 723 1 1 1 0 0 0 1 1 0 1
135 1 1 1663 1663 735 735 1 1 1 0 0 0 1 1 0 1
136 1 1 1481 1481 747 747 1 1 1 0 0 0 1 1 0 1
153 1 1 718 718 778 778 1 1 1 0 0 0 1 1 0 1
171 1 1 841 841 846 846 1 1 1 0 0 0 1 1 0 1
183 1 1 857 857 876 876 1 1 1 0 0 0 1 1 0 1
184 1 1 105 105 877 877 1 1 1 0 0 0 1 1 0 1
