# label area perimeter xmin xmax ymin ymax
1 2467 560 1614 1675 572 690
12 2380 569 707 767 588 706
71 247 54 1632 1647 650 666
87 7 7 849 850 662 665
89 240 54 719 734 666 681
95 1 1 641 641 672 672
97 3 3 642 643 673 674
99 1 1 637 637 675 675
101 1 1 643 643 677 677
111 14 13 646 648 689 696
116 7 7 652 656 694 696
123 4 4 515 516 700 702
124 9 9 527 533 700 702
125 1 1 519 519 701 701
127 1 1 536 536 701 701
128 1 1 532 532 705 705
129 6 6 1198 1199 706 708
130 4 4 1203 1204 706 707
131 1 1 1201 1201 709 709
132 1 1 1041 1041 723 723
133 3 3 1043 1045 724 724
134 2 2 946 946 728 729
135 1 1 1663 1663 735 735
136 1 1 1481 1481 747 747
137 425 79 1137 1156 771 802
139 367 106 727 776 773 781
145 426 136 840 904 776 784
149 316 79 1296 1311 776 807
153 1 1 718 718 778 778
159 8 8 364 371 803 803
163 150 57 1143 1170 835 841
167 154 54 1289 1314 840 847
168 2 2 828 828 841 842
170 2 2 805 806 843 843
171 1 1 841 841 846 846
172 130 41 723 741 867 882
175 266 91 849 889 869 886
183 1 1 857 857 876 876
184 1 1 105 105 877 877
186 3 3 858 860 877 877
