# label area perimeter xmin xmax ymin ymax
1 75 46 1589 1611 594 599
5 7 7 1583 1585 599 602
8 428 197 1579 1624 603 670
11 46 32 1617 1620 605 621
16 7 7 1613 1616 625 627
21 8 7 1583 1586 647 649
24 457 155 2 32 653 702
25 12 9 1582 1584 653 657
32 128 71 1584 1615 661 674
36 205 56 2 15 666 685
48 48 26 754 759 696 707
49 10 10 72 77 698 699
52 1 1 1237 1237 723 723
53 3 3 1238 1238 725 727
54 2 2 1234 1234 727 728
55 14 11 1022 1025 730 733
56 46 21 1019 1026 750 756
59 14 10 1162 1165 755 758
61 342 98 777 821 772 787
71 8 8 770 774 782 784
73 16 15 751 760 783 785
76 1 1 747 747 785 785
77 1 1 433 433 786 786
78 1 1 746 746 786 786
79 12 10 763 767 786 788
81 2 2 772 773 788 788
82 1 1 744 744 789 789
83 1 1 760 760 790 790
84 10 10 718 724 791 794
85 2 2 730 731 791 791
87 1 1 726 726 795 795
88 1 1 1169 1169 795 795
89 8 8 708 710 797 800
90 1 1 739 739 797 797
91 79 48 694 707 798 813
93 1 1 738 738 798 798
95 1 1 721 721 799 799
96 1 1 725 725 799 799
98 1 1 730 730 800 800
99 1 1 739 739 801 801
100 4 4 717 719 802 803
101 19 17 680 685 803 809
103 19 19 721 733 803 805
104 48 29 665 676 804 811
109 2 2 843 844 805 805
113 2 2 714 715 806 806
115 7 7 683 687 809 811
116 1 1 845 845 809 809
117 1 1 647 647 810 810
118 1 1 654 654 810 810
120 1 1 712 712 810 810
121 56 43 648 660 811 823
122 1 1 663 663 811 811
123 3 3 660 661 812 813
124 2 2 688 688 812 813
126 14 12 638 645 814 816
128 8 8 690 695 814 815
130 3 3 664 665 815 816
131 131 60 808 825 815 828
132 1 1 624 624 816 816
134 23 18 625 632 817 820
138 1 1 678 678 820 820
139 10 10 597 598 821 828
140 6 6 639 641 821 824
141 1 1 676 676 821 821
142 3 3 645 646 822 823
144 5 5 605 607 824 826
145 128 65 610 626 824 837
146 7 7 625 628 824 825
148 1 1 778 778 824 824
149 46 32 576 588 825 831
153 3 3 772 773 825 826
157 3 3 631 632 826 827
161 5 5 768 771 827 828
163 7 7 636 638 828 830
164 16 16 642 650 828 832
165 1 1 767 767 828 828
169 3 3 768 769 831 832
170 2 2 629 630 832 832
172 1 1 600 600 833 833
173 8 8 606 609 833 834
174 1 1 640 640 833 833
175 1 1 594 594 834 834
176 6 6 576 578 835 838
177 3 3 582 584 835 835
178 3 3 596 598 835 835
180 1 1 554 554 836 836
181 11 11 600 606 838 841
182 1 1 617 617 838 838
183 2 2 742 743 839 839
184 1 1 590 590 840 840
185 1 1 610 610 840 840
186 1 1 740 740 841 841
187 3 3 532 534 842 842
188 11 10 567 573 842 844
189 1 1 577 577 842 842
191 5 5 734 738 844 844
192 3 3 351 352 997 998
193 269 59 210 232 1055 1071
198 31 17 17 22 1061 1066
199 1062 362 28 204 1061 1066
