# label area perimeter xmin xmax ymin ymax width height spatial_area pass_area pass_dims pass_pix_area pass_aspect pass_circ pass_fill pass_fill_min
199 1062 362 28 204 1061 1066 176 5 880 1 0 1 0 1 0 1
24 457 155 2 32 653 702 30 49 1470 1 0 1 0 1 1 1
8 429 198 1579 1624 603 670 45 67 3015 1 1 1 0 1 1 0
61 342 98 777 821 772 787 44 15 660 1 0 1 0 1 1 1
193 269 59 210 232 1055 1071 22 16 352 1 0 0 0 1 0 1
36 205 56 2 15 666 685 13 19 247 0 0 0 0 1 0 1
131 131 60 808 825 815 828 17 13 221 0 0 0 1 1 1 1
145 129 66 610 626 824 837 16 13 208 0 0 0 1 1 0 1
32 128 71 1584 1615 661 674 31 13 403 1 0 0 0 1 1 1
91 79 48 694 707 798 813 13 15 195 0 0 0 1 1 1 1
1 75 46 1589 1611 594 599 22 5 110 0 0 0 0 1 0 1
121 56 43 648 660 811 823 12 12 144 0 0 0 1 1 1 1
48 48 26 754 759 696 707 5 11 55 0 0 0 0 1 0 1
104 48 29 665 676 804 811 11 7 77 0 0 0 0 1 0 1
11 46 32 1617 1620 605 621 3 16 48 0 0 0 0 1 0 1
56 46 21 1019 1026 750 756 7 6 42 0 0 0 1 1 0 1
149 46 32 576 588 825 831 12 6 72 0 0 0 0 1 0 1
198 31 17 17 22 1061 1066 5 5 25 0 0 0 1 1 0 1
134 23 18 625 632 817 820 7 3 21 0 0 0 0 1 0 1
101 19 17 680 685 803 809 5 6 30 0 0 0 1 1 0 1
103 19 19 721 733 803 805 12 2 24 0 0 0 0 1 0 1
73 16 15 751 760 783 785 9 2 18 0 0 0 0 1 0 1
164 16 16 642 650 828 832 8 4 32 0 0 0 0 1 1 1
55 14 11 1022 1025 730 733 3 3 9 0 0 0 1 1 0 1
59 14 10 1162 1165 755 758 3 3 9 0 0 0 1 1 0 1
126 14 12 638 645 814 816 7 2 14 0 0 0 0 1 0 1
25 12 9 1582 1584 653 657 2 4 8 0 0 0 0 1 0 1
79 12 10 763 767 786 788 4 2 8 0 0 0 0 1 0 1
181 11 11 600 606 838 841 6 3 18 0 0 0 0 1 0 1
188 11 10 567 573 842 844 6 2 12 0 0 0 0 1 0 1
49 10 10 72 77 698 699 5 1 5 0 0 0 0 1 0 1
84 10 10 718 724 791 794 6 3 18 0 0 0 0 1 1 1
139 10 10 597 598 821 828 1 7 7 0 0 0 0 1 0 1
21 8 7 1583 1586 647 649 3 2 6 0 0 0 0 1 0 1
71 8 8 770 774 782 784 4 2 8 0 0 0 0 1 0 1
89 8 8 708 710 797 800 2 3 6 0 0 0 0 1 0 1
128 8 8 690 695 814 815 5 1 5 0 0 0 0 1 0 1
173 8 8 606 609 833 834 3 1 3 0 0 0 0 1 0 1
5 7 7 1583 1585 599 602 2 3 6 0 0 0 0 1 0 1
