# label area perimeter xmin xmax ymin ymax width height spatial_area pass_area pass_dims pass_pix_area pass_aspect pass_circ pass_fill pass_fill_min
31 1683 1124 209 769 1077 1079 561 3 1683 1 0 1 0 0 0 1
30 530 355 28 204 1077 1079 177 3 531 1 0 1 0 0 0 1
1 393 191 1480 1516 632 668 37 37 1369 1 1 1 1 1 1 1
24 125 46 775 795 1071 1079 21 9 189 0 0 0 0 1 0 1
19 22 20 797 805 725 728 9 4 36 0 0 0 0 1 0 1
29 16 13 17 22 1077 1079 6 3 18 0 0 0 0 1 0 1
17 6 6 1362 1365 716 717 4 2 8 0 0 0 0 1 0 1
18 5 5 1373 1377 717 717 5 1 5 0 0 0 0 1 0 1
21 4 4 861 862 726 727 2 2 4 0 0 0 1 1 0 1
22 1 1 823 823 727 727 1 1 1 0 0 0 1 1 0 1
23 1 1 999 999 735 735 1 1 1 0 0 0 1 1 0 1
