# label area perimeter xmin xmax ymin ymax
414 7 7 403 405 1009 1011
415 2 2 412 412 1009 1010
416 2 2 581 582 1009 1009
417 2 2 381 381 1010 1011
422 46 34 381 392 1013 1020
424 4 4 443 443 1013 1016
426 45 36 569 581 1013 1021
427 3 3 411 413 1014 1014
433 1 1 415 415 1016 1016
434 1 1 436 436 1016 1016
435 59 31 447 457 1017 1026
436 1 1 564 564 1017 1017
439 1 1 444 444 1019 1019
441 1 1 393 393 1020 1020
442 1 1 388 388 1021 1021
443 1 1 436 436 1022 1022
444 1 1 461 461 1024 1024
445 1 1 436 436 1026 1026
446 107 51 435 451 1026 1038
447 2 2 433 433 1027 1028
448 1 1 459 459 1027 1027
451 2 2 233 233 1034 1035
452 353 115 343 386 1034 1054
455 6 6 387 388 1039 1043
456 1 1 262 262 1040 1040
461 1 1 228 228 1041 1041
463 1 1 444 444 1042 1042
464 21 13 259 264 1045 1049
465 2 2 231 232 1046 1046
468 16 14 403 409 1046 1050
469 1 1 236 236 1047 1047
473 1 1 237 237 1049 1049
474 1 1 414 414 1049 1049
475 58 33 344 354 1050 1060
476 80 44 198 216 1051 1060
477 4 4 224 225 1051 1053
478 106 61 225 242 1052 1071
479 1 1 354 354 1052 1052
480 4 4 189 190 1053 1055
482 1 1 373 373 1053 1053
484 1 1 487 487 1054 1054
485 1 1 194 194 1055 1055
487 1 1 488 488 1055 1055
492 3 3 341 343 1058 1058
493 1 1 367 367 1058 1058
494 4 4 382 383 1058 1059
495 1 1 411 411 1058 1058
496 1 1 492 492 1058 1058
497 22 17 387 391 1060 1068
498 3 3 224 226 1062 1062
499 2 2 223 223 1063 1064
501 4 4 251 251 1063 1066
502 41 25 178 188 1064 1069
503 1 1 189 189 1064 1064
504 2 2 243 243 1064 1065
507 1 1 205 205 1065 1065
508 1 1 353 353 1066 1066
509 1 1 367 367 1066 1066
511 20 18 252 261 1067 1072
512 3 3 355 356 1069 1070
513 2 2 176 177 1071 1071
514 1 1 357 357 1071 1071
515 1 1 243 243 1072 1072
516 2 2 358 359 1072 1072
517 52 31 222 237 1073 1079
519 15 13 381 385 1075 1079
522 8 8 374 377 1077 1079
524 4 4 156 159 1079 1079
526 2 2 363 364 1079 1079
