# label area perimeter xmin xmax ymin ymax
684 7 7 1826 1830 228 229
691 1 1 1797 1797 230 230
694 1 1 1735 1735 231 231
697 6 6 1736 1740 234 235
700 580 165 1310 1368 236 259
701 241 134 1451 1478 236 263
702 2 2 1733 1734 236 236
705 1 1 1659 1659 237 237
713 4 4 1369 1372 241 241
714 162 90 1368 1389 241 259
715 1 1 1674 1674 241 241
718 5 5 1392 1396 242 242
720 17 14 1383 1390 243 246
721 1 1 1398 1398 243 243
722 8 8 1406 1410 243 246
724 1 1 1678 1678 243 243
726 1 1 1714 1714 243 243
727 2 2 1354 1354 244 245
731 2 2 1518 1519 244 244
732 1 1 1369 1369 245 245
733 1 1 1456 1456 245 245
734 1 1 1457 1457 246 246
735 49 30 1681 1690 246 255
736 8 8 1363 1366 247 248
741 2 2 240 241 249 249
744 5 5 1391 1394 249 250
745 3 3 1544 1546 249 249
746 12 11 1913 1918 249 252
747 9 9 0 4095 250 252
749 1 1 1423 1423 250 250
750 10 10 1694 1700 250 251
753 1 1 1396 1396 251 251
754 1 1 1415 1415 251 251
755 2 2 1420 1420 251 252
756 158 104 1562 1584 251 268
761 1 1 1397 1397 252 252
762 1 1 1413 1413 252 252
763 2 2 1433 1434 252 252
764 1 1 1439 1439 252 252
768 1 1 1908 1908 252 252
770 7 7 1310 1313 253 255
772 2 2 1410 1411 253 253
773 1 1 1417 1417 253 253
774 14 14 1421 1430 253 255
775 1 1 1440 1440 253 253
776 1 1 1450 1450 253 253
778 4 4 1691 1693 253 254
779 26 24 1896 1905 253 257
780 1 1 1911 1911 253 253
785 1 1 1299 1299 255 255
787 6 6 1325 1327 255 258
788 4 4 1415 1416 255 256
790 9 9 1316 1321 256 258
792 6 6 1408 1410 256 258
793 2 2 1474 1474 256 257
795 1 1 1417 1417 257 257
796 1 1 1688 1688 257 257
797 9 9 1816 1817 257 262
798 10 10 1887 1891 257 260
801 1 1 1349 1349 258 258
804 19 14 1605 1610 258 261
805 8 8 1614 1617 258 261
806 1 1 1620 1620 258 258
807 1 1 1694 1694 258 258
808 2 2 1851 1852 258 258
812 1 1 1683 1683 259 259
813 2 2 1687 1687 259 260
816 3 3 1438 1439 260 261
817 1 1 1682 1682 260 260
818 1 1 1756 1756 260 260
819 1 1 1823 1823 260 260
821 1 1 1428 1428 261 261
822 1 1 1881 1881 261 261
823 17 17 1469 1475 262 269
824 1 1 1556 1556 262 262
825 3 3 1561 1561 262 264
826 1 1 1674 1674 262 262
827 1 1 1761 1761 262 262
828 249 128 1824 1880 262 271
829 1 1 1887 1887 262 262
830 1 1 1493 1493 263 263
831 1 1 1503 1503 263 263
832 23 21 1514 1522 263 271
834 1 1 1673 1673 263 263
835 4 4 1766 1768 263 264
841 1 1 1495 1495 264 264
842 1 1 1514 1514 264 264
843 15 12 1525 1529 264 269
845 3 3 1821 1823 264 264
848 47 27 1478 1484 265 275
849 2 2 1488 1488 265 266
850 1 1 1515 1515 265 265
852 9 9 1534 1537 265 270
853 88 57 1652 1669 265 278
856 1 1 1449 1449 266 266
859 1 1 1508 1508 267 267
860 1 1 1646 1646 267 267
861 1 1 1664 1664 267 267
862 1 1 1820 1820 267 267
863 2 2 173 173 268 269
865 19 14 1490 1496 268 271
866 1 1 1505 1505 268 268
867 3 3 1511 1512 268 269
868 1 1 1558 1558 268 268
870 1 1 1822 1822 268 268
872 1 1 1504 1504 269 269
874 6 6 1560 1563 269 271
875 3 3 171 172 270 271
876 1 1 1473 1473 270 270
877 1 1 1500 1500 270 270
880 1 1 1575 1575 270 270
882 1 1 1673 1673 270 270
883 3 3 1751 1753 270 270
886 2 2 1501 1502 271 271
887 1 1 1532 1532 271 271
888 2 2 1677 1677 271 272
889 2 2 1800 1801 271 271
890 4 4 1507 1509 272 273
891 1 1 1524 1524 272 272
892 1 1 1570 1570 272 272
893 95 62 1570 1591 272 282
897 1 1 1681 1681 272 272
898 1 1 1688 1688 272 272
899 1 1 1773 1773 272 272
900 1 1 1830 1830 272 272
902 1 1 1598 1598 273 273
903 1 1 1650 1650 273 273
904 1 1 1676 1676 273 273
906 1 1 1498 1498 274 274
907 292 144 1503 1558 274 288
910 4 4 1599 1599 274 277
912 8 8 1671 1675 274 276
913 1 1 1756 1756 274 274
915 1 1 1567 1567 275 275
917 2 2 1743 1744 275 275
918 1 1 1770 1770 275 275
919 1 1 1796 1796 275 275
924 6 5 1766 1768 276 278
925 3 3 184 185 277 278
926 53 47 1299 1310 277 287
928 1 1 1563 1563 277 277
929 2 2 1752 1753 277 277
931 11 10 173 177 278 281
936 1 1 1561 1561 278 278
937 1 1 1592 1592 278 278
938 1 1 1598 1598 278 278
939 1 1 1741 1741 278 278
940 8 8 1782 1786 278 281
941 3 3 167 168 279 280
943 1 1 181 181 279 279
944 1 1 189 189 279 279
946 6225 943 1389 1525 279 413
949 10 9 1593 1596 279 284
950 1 1 1604 1604 279 279
951 55 31 1622 1634 279 285
953 2 2 1664 1665 279 279
954 10 10 1723 1728 279 281
955 6 6 1735 1737 279 281
956 3 3 1831 1833 279 279
960 3 3 1653 1653 280 282
962 3 3 1775 1777 280 280
963 41 32 1785 1801 280 284
964 1 1 186 186 281 281
965 6 6 290 293 281 282
966 3 3 1495 1496 281 282
968 1 1 1587 1587 281 281
969 3 3 1619 1620 281 282
970 2 2 1642 1643 281 281
972 1 1 210 210 282 282
976 1 1 1645 1645 282 282
977 1 1 1659 1659 282 282
978 1 1 1729 1729 282 282
980 1 1 191 191 283 283
981 1 1 211 211 283 283
982 1 1 221 221 283 283
983 3 3 1298 1298 283 285
986 1 1 1649 1649 283 283
987 12 10 1654 1658 283 285
988 2 2 1779 1780 283 283
989 1 1 217 217 284 284
991 1 1 225 225 285 285
994 1 1 1500 1500 285 285
995 1 1 1662 1662 285 285
996 1 1 1671 1671 285 285
997 2 2 1723 1723 285 286
998 2 2 209 210 286 286
999 3 3 276 277 286 287
1000 1 1 463 463 286 286
1001 3 3 509 511 286 286
1002 1 1 515 515 286 286
1004 1 1 1329 1329 286 286
1007 5 5 1557 1558 286 289
1008 22 19 1563 1574 286 289
1010 4 4 1320 1323 287 287
1011 15 14 1385 1390 287 292
1013 37 25 1663 1674 287 294
1014 8 8 259 265 288 289
1015 1 1 1328 1328 288 288
1016 1 1 1463 1463 288 288
1017 5 5 1512 1513 288 290
1018 1 1 1584 1584 288 288
1020 1 1 1675 1675 288 288
1021 1 1 1720 1720 288 288
1023 2 2 270 270 289 290
1024 2 2 1335 1336 289 289
1025 1 1 1456 1456 289 289
1026 1 1 1507 1507 289 289
1029 1 1 1715 1715 289 289
1030 4 4 256 256 290 293
1031 1 1 435 435 290 290
1032 1 1 1457 1457 290 290
1033 2 2 1504 1505 290 290
1034 1 1 1556 1556 290 290
1035 11 11 184 192 291 292
1037 7 7 277 280 291 292
1038 215 87 399 433 291 302
1042 1 1 1499 1499 291 291
1043 3 3 1515 1517 291 291
1044 2 2 1554 1555 291 291
1045 9938 1781 1483 1700 291 396
1048 1 1 1661 1661 291 291
1051 1 1 516 516 292 292
1052 858 271 1309 1363 292 339
1054 4 4 1503 1503 292 295
1055 1 1 1551 1551 292 292
1056 1 1 1662 1662 292 292
1057 1 1 1678 1678 292 292
1058 1 1 1729 1729 292 292
1059 1 1 263 263 293 293
1060 55 39 310 324 293 303
1062 4 4 491 493 293 294
1063 22 20 495 504 293 296
1064 6 6 525 528 293 294
1068 10 10 1520 1525 293 296
1071 1 1 1679 1679 293 293
1072 1 1 225 225 294 294
1073 5 5 258 262 294 294
1075 1 1 477 477 294 294
1085 1 1 529 529 295 295
1087 1 1 1350 1350 295 295
1088 1 1 1507 1507 295 295
1093 1 1 291 291 296 296
1094 1 1 384 384 296 296
1095 1 1 764 764 296 296
1099 10 10 509 517 297 298
1100 1 1 789 789 297 297
1102 35 26 1510 1519 297 305
1103 1 1 763 763 298 298
1104 4 4 799 802 298 298
1106 2 2 1356 1357 298 298
1109 3 3 224 226 299 299
1110 14 13 260 266 299 303
1111 2 2 518 519 299 299
1112 4 4 812 815 299 299
1115 67 35 1368 1373 299 313
1119 1 1 1590 1590 299 299
1120 3 3 462 464 300 300
1121 1 1 762 762 300 300
1122 2 2 824 825 300 300
1128 22 15 290 296 301 304
1129 3 3 302 304 301 301
1131 1 1 379 379 301 301
1132 2 2 383 384 301 301
1134 5 5 453 456 301 302
1135 1 1 486 486 301 301
1136 6 6 838 843 301 301
1140 1 1 1591 1591 301 301
1143 1 1 394 394 302 302
1144 42 42 847 882 302 304
1148 3 3 305 306 303 304
1149 1 1 1291 1291 303 303
1152 1 1 1697 1697 303 303
1153 1 1 1289 1289 304 304
1154 1 1 1297 1297 304 304
1158 1 1 1696 1696 304 304
1159 1 1 258 258 305 305
1160 1 1 309 309 305 305
1164 4 4 1694 1695 305 307
1165 2 2 260 261 306 306
1166 1 1 1287 1287 306 306
1168 1 1 1560 1560 306 306
1170 1 1 435 435 307 307
1171 2 2 760 760 307 308
1178 10 10 469 474 308 311
1183 1 1 1281 1281 309 309
1188 3 3 459 461 310 310
1189 16 15 1284 1294 310 312
1191 5 5 1594 1594 310 314
1193 2 2 759 759 311 312
1194 10 10 963 972 311 311
1195 10 9 1265 1270 311 313
1197 7 6 1298 1300 311 313
1200 7 7 424 428 312 313
1201 1 1 432 432 312 312
1202 1 1 456 456 312 312
1203 1 1 467 467 312 312
1204 1 1 520 520 312 312
1205 4 4 978 981 312 312
1210 1 1 389 389 313 313
1211 2 2 420 421 313 313
1212 2 2 464 465 313 313
1213 4 4 987 990 313 313
1219 1 1 1698 1698 313 313
1220 8 8 268 273 314 316
1221 7 7 1002 1008 314 314
1222 1 1 1291 1291 314 314
1223 1 1 1386 1386 314 314
1224 2 2 1392 1393 314 314
1233 3 3 276 277 315 316
1234 1 1 1010 1010 315 315
1235 1 1 1294 1294 315 315
1238 16 16 1697 1701 315 323
1239 3 3 1019 1021 316 316
1240 1 1 1284 1284 316 316
1243 2 2 1029 1030 317 317
1246 2 2 1521 1522 317 317
1248 1 1 443 443 318 318
1249 45 32 1041 1057 318 322
1250 1 1 1290 1290 318 318
1251 2 2 1394 1395 318 318
1253 3 3 1505 1507 318 318
1256 1 1 1608 1608 318 318
1259 6 6 569 572 319 321
1261 187 105 1385 1407 319 339
1263 1 1 1517 1517 319 319
1264 6 6 435 436 320 322
1265 2 2 537 538 320 320
1266 6 6 576 581 320 320
1267 1 1 756 756 320 320
1271 1 1 623 623 321 321
1272 8 8 723 730 321 321
1274 3 3 1077 1078 321 322
1275 2 2 1362 1362 321 322
1279 1 1 404 404 322 322
1280 1 1 721 721 322 322
1281 1 1 734 734 322 322
1282 1 1 1275 1275 322 322
1285 1 1 1494 1494 322 322
1288 1 1 514 514 323 323
1289 2 2 711 712 323 323
1297 3 3 459 459 324 326
1298 2 2 516 517 324 324
1299 1 1 695 695 324 324
1300 2 2 1091 1092 324 324
1303 6 6 606 610 325 326
1304 1 1 1094 1094 325 325
1305 3 3 1242 1243 325 326
1306 5 5 1247 1248 325 327
1307 16 13 579 583 326 330
1309 1 1 685 685 326 326
1310 33 18 1346 1352 326 332
1311 6 6 525 528 327 329
1312 26 25 604 614 327 332
1316 1 1 679 679 328 328
1317 16 16 1273 1277 328 335
1318 77 33 1324 1331 328 341
1319 1 1 1342 1342 328 328
1324 5 5 725 727 329 331
1325 2 2 745 745 329 330
1326 23 21 752 757 329 338
1327 7 7 1268 1270 329 331
