# label area perimeter xmin xmax ymin ymax width height spatial_area pass_area pass_dims pass_pix_area pass_aspect pass_circ pass_fill pass_fill_min
1 2813 416 168 336 526 583 169 58 9802 1 1 1 0 1 1 1
43 1024 127 1051 1100 745 771 50 27 1350 1 0 1 0 1 0 1
29 440 163 1706 1739 710 741 34 32 1088 1 1 1 1 1 1 1
14 426 150 1338 1369 685 715 32 31 992 1 1 1 1 1 1 1
39 221 55 1030 1047 735 749 18 15 270 0 0 0 1 1 0 1
12 171 57 311 335 588 599 25 12 300 1 0 0 0 1 1 1
44 170 47 977 990 746 762 14 17 238 0 0 0 1 1 0 1
61 67 27 1010 1019 752 760 10 9 90 0 0 0 1 1 0 1
56 41 21 961 966 750 758 6 9 54 0 0 0 0 1 0 1
64 37 21 997 1003 753 761 7 9 63 0 0 0 1 1 1 1
47 33 31 489 499 747 753 11 7 77 0 0 0 0 1 1 1
42 18 11 994 998 742 746 5 5 25 0 0 0 1 1 0 1
63 8 8 505 508 753 755 4 3 12 0 0 0 1 1 0 1
72 4 4 514 516 756 757 3 2 6 0 0 0 0 1 0 1
76 3 3 504 505 759 760 2 2 4 0 0 0 1 1 0 1
57 2 2 510 511 751 751 2 1 2 0 0 0 0 1 0 1
71 2 2 1041 1042 755 755 2 1 2 0 0 0 0 1 0 1
74 2 2 496 496 758 759 1 2 2 0 0 0 0 1 0 1
84 2 2 1701 1702 795 795 2 1 2 0 0 0 0 1 0 1
86 2 2 515 516 810 810 2 1 2 0 0 0 0 1 0 1
58 1 1 516 516 751 751 1 1 1 0 0 0 1 1 0 1
77 1 1 512 512 759 759 1 1 1 0 0 0 1 1 0 1
80 1 1 500 500 761 761 1 1 1 0 0 0 1 1 0 1
81 1 1 509 509 761 761 1 1 1 0 0 0 1 1 0 1
82 1 1 516 516 761 761 1 1 1 0 0 0 1 1 0 1
83 1 1 438 438 763 763 1 1 1 0 0 0 1 1 0 1
85 1 1 523 523 807 807 1 1 1 0 0 0 1 1 0 1
87 1 1 27 27 896 896 1 1 1 0 0 0 1 1 0 1
