# label area perimeter xmin xmax ymin ymax
1 2813 416 168 336 526 583
12 171 57 311 335 588 599
14 426 150 1338 1369 685 715
29 440 163 1706 1739 710 741
39 221 55 1030 1047 735 749
42 18 11 994 998 742 746
43 1024 127 1051 1100 745 771
44 170 47 977 990 746 762
47 33 31 489 499 747 753
56 41 21 961 966 750 758
57 2 2 510 511 751 751
58 1 1 516 516 751 751
61 67 27 1010 1019 752 760
63 8 8 505 508 753 755
64 37 21 997 1003 753 761
71 2 2 1041 1042 755 755
72 4 4 514 516 756 757
74 2 2 496 496 758 759
76 3 3 504 505 759 760
77 1 1 512 512 759 759
80 1 1 500 500 761 761
81 1 1 509 509 761 761
82 1 1 516 516 761 761
83 1 1 438 438 763 763
84 2 2 1701 1702 795 795
85 1 1 523 523 807 807
86 2 2 515 516 810 810
87 1 1 27 27 896 896
