# label area perimeter xmin xmax ymin ymax
1 51 25 973 980 277 286
2 4 4 942 943 282 284
4 1 1 944 944 285 285
5 1 1 991 991 309 309
6 2 2 991 991 313 314
7 294 99 1538 1565 462 491
11 34 20 1542 1551 467 471
13 14 11 1529 1531 472 477
20 11 9 377 379 492 496
22 24 24 377 378 504 520
24 3 3 380 381 527 528
25 31 22 377 381 539 548
28 74 49 377 381 556 585
33 654 193 1705 1727 587 634
36 3 3 381 381 596 598
41 3 3 378 378 599 601
42 1 1 377 377 605 605
43 6 6 378 378 606 611
44 385 88 1085 1115 611 625
52 110 42 1384 1399 617 629
59 4 4 1073 1075 632 633
60 17 16 1074 1081 642 646
62 281 77 1087 1102 643 664
68 655 101 1712 1732 647 689
69 151 75 1240 1253 649 673
76 3 3 1177 1177 653 655
77 1 1 1181 1181 653 653
88 26 16 1093 1097 670 676
90 10 9 1069 1071 672 676
92 53 25 1241 1246 677 687
94 8 7 1018 1021 681 683
96 5 5 973 976 682 683
97 118 44 713 733 683 690
99 80 32 662 676 685 691
104 51 26 1242 1246 692 702
106 681 102 1717 1738 702 744
109 1 1 433 433 706 706
110 6 6 715 720 706 706
111 1 1 1716 1716 707 707
120 48 36 644 661 936 940
123 3 3 622 624 969 969
124 146 89 592 620 971 982
127 17 16 620 626 973 978
139 4117 1240 992 1606 1014 1028
154 72 45 895 916 1018 1022
161 4342 1448 107 826 1022 1054
166 1 1 1615 1615 1026 1026
169 2 2 1612 1613 1027 1027
170 2 2 1620 1621 1027 1027
172 58 58 1622 1651 1028 1029
