# label area perimeter xmin xmax ymin ymax
1 2 2 881 882 226 226
2 78 32 898 907 233 246
3 22 14 864 867 236 241
5 5 5 917 918 269 271
6 12 12 919 920 272 277
7 115 56 1892 1911 302 312
13 50 28 1867 1875 313 324
14 33 27 1907 1918 323 328
17 52 52 0 4095 326 345
18 332 89 1888 1918 332 350
23 6 6 123 123 407 412
24 8 8 122 123 421 426
26 6 6 122 123 433 436
28 15 13 122 124 440 446
30 36 29 122 124 452 469
31 1 1 125 125 471 471
32 1 1 121 121 475 475
33 3 3 125 126 480 481
34 15 15 122 122 482 496
35 1 1 123 123 511 511
36 3 3 125 125 515 517
37 6 6 121 124 517 519
38 1 1 124 124 526 526
39 19 15 122 124 533 540
40 1 1 124 124 545 545
41 3 3 122 123 547 548
42 673 93 1687 1719 549 571
48 232 136 1112 1138 556 592
51 1 1 122 122 563 563
54 6 6 1110 1111 569 571
55 4 4 121 121 570 573
56 1 1 1232 1232 573 573
57 1 1 120 120 574 574
58 6 6 120 121 587 590
61 2 2 1105 1106 590 590
62 632 253 1097 1120 612 649
66 506 130 1245 1265 619 661
77 2 2 1123 1124 631 631
79 81 44 1220 1230 632 642
90 2 2 1082 1083 662 662
91 26 17 1111 1115 662 669
92 130 41 1247 1255 670 688
96 93 39 776 793 675 681
97 45 23 732 742 676 681
99 11 9 1112 1114 676 680
103 5 5 1112 1113 689 691
104 130 55 126 145 694 704
107 131 39 1247 1255 697 713
113 9 8 887 890 782 784
114 15 12 881 886 788 791
117 3215 1212 992 1591 1015 1027
125 61 43 896 916 1019 1021
127 3792 1425 122 826 1020 1053
131 2 2 1605 1606 1022 1022
137 1 1 1595 1595 1026 1026
138 7 7 1600 1606 1026 1026
151 1 1 917 917 1036 1036
