TIME: 26836875000 | RAM WRITE | Addr: 5 <= Data: 4
TIME: 26836905000 | RAM WRITE | Addr: 4 <= Data: 2
TIME: 26836935000 | RAM WRITE | Addr: 2 <= Data: 1
TIME: 26865545000 | RAM WRITE | Addr: 8 <= Data: 8
TIME: 26865555000 | RAM WRITE | Addr: 8 <= Data: 7
TIME: 26865565000 | RAM WRITE | Addr: 7 <= Data: 6
TIME: 26865585000 | RAM WRITE | Addr: 6 <= Data: 5
TIME: 26865595000 | RAM WRITE | Addr: 5 <= Data: 4
TIME: 26865625000 | RAM WRITE | Addr: 4 <= Data: 2
TIME: 26894245000 | RAM WRITE | Addr: 9 <= Data: 9
TIME: 26894265000 | RAM WRITE | Addr: 9 <= Data: 8
TIME: 26894275000 | RAM WRITE | Addr: 8 <= Data: 7
TIME: 26894285000 | RAM WRITE | Addr: 7 <= Data: 6
TIME: 26894305000 | RAM WRITE | Addr: 6 <= Data: 5
TIME: 26894315000 | RAM WRITE | Addr: 5 <= Data: 4
TIME: 26922935000 | RAM WRITE | Addr: 10 <= Data: 10
TIME: 26922965000 | RAM WRITE | Addr: 10 <= Data: 9
TIME: 26922985000 | RAM WRITE | Addr: 9 <= Data: 8
TIME: 26922995000 | RAM WRITE | Addr: 8 <= Data: 7
TIME: 26923005000 | RAM WRITE | Addr: 7 <= Data: 6
TIME: 26923025000 | RAM WRITE | Addr: 6 <= Data: 5
TIME: 26923035000 | RAM WRITE | Addr: 5 <= Data: 4
TIME: 26951645000 | RAM WRITE | Addr: 11 <= Data: 11
TIME: 26951655000 | RAM WRITE | Addr: 11 <= Data: 10
TIME: 26951685000 | RAM WRITE | Addr: 10 <= Data: 9
TIME: 26951705000 | RAM WRITE | Addr: 9 <= Data: 8
TIME: 26951715000 | RAM WRITE | Addr: 8 <= Data: 7
TIME: 26951725000 | RAM WRITE | Addr: 7 <= Data: 6
TIME: 26951745000 | RAM WRITE | Addr: 6 <= Data: 5
TIME: 26980375000 | RAM WRITE | Addr: 11 <= Data: 10
TIME: 26980405000 | RAM WRITE | Addr: 10 <= Data: 9
TIME: 26980425000 | RAM WRITE | Addr: 9 <= Data: 8
TIME: 26980435000 | RAM WRITE | Addr: 8 <= Data: 7
TIME: 26980445000 | RAM WRITE | Addr: 7 <= Data: 6
TIME: 27009095000 | RAM WRITE | Addr: 11 <= Data: 10
TIME: 27009125000 | RAM WRITE | Addr: 10 <= Data: 9
TIME: 27009145000 | RAM WRITE | Addr: 9 <= Data: 8
TIME: 27009155000 | RAM WRITE | Addr: 8 <= Data: 7
TIME: 27009165000 | RAM WRITE | Addr: 7 <= Data: 6
TIME: 27037815000 | RAM WRITE | Addr: 11 <= Data: 10
TIME: 27037845000 | RAM WRITE | Addr: 10 <= Data: 9
TIME: 27037865000 | RAM WRITE | Addr: 9 <= Data: 8
TIME: 27037875000 | RAM WRITE | Addr: 8 <= Data: 7
TIME: 27066535000 | RAM WRITE | Addr: 11 <= Data: 10
TIME: 27066565000 | RAM WRITE | Addr: 10 <= Data: 9
TIME: 27066585000 | RAM WRITE | Addr: 9 <= Data: 8
TIME: 27095235000 | RAM WRITE | Addr: 12 <= Data: 12
