# label area perimeter xmin xmax ymin ymax
1 1 1 395 395 160 160
2 2 2 396 397 161 161
3 39 30 400 403 162 176
5 3 3 394 395 169 170
6 4 4 396 399 171 171
8 1 1 446 446 196 196
9 814 101 488 520 453 482
14 12 12 427 433 590 593
15 959 299 1789 1835 593 643
24 141 77 1416 1426 602 635
34 178 43 919 932 627 641
39 28 19 132 136 636 643
40 1 1 495 495 636 636
42 21 17 89 95 640 644
45 20 16 122 128 642 647
48 1 1 120 120 650 650
49 1 1 91 91 651 651
50 6 6 121 123 651 653
51 1 1 125 125 656 656
52 1 1 126 126 657 657
53 1 1 665 665 658 658
54 83 51 87 103 660 674
55 19 15 1265 1272 661 665
60 2 2 1265 1265 667 668
61 15 12 1274 1278 667 672
64 118 76 109 124 671 689
65 70 46 67 87 673 681
66 1 1 106 106 673 673
71 3 3 92 94 675 675
72 1 1 662 662 675 675
75 136 60 1292 1304 679 697
80 3 3 89 90 683 684
81 10 10 67 71 684 689
82 1 1 66 66 686 686
84 5 5 79 81 687 688
85 1 1 111 111 687 687
87 1 1 110 110 688 688
88 1 1 503 503 688 688
89 23 20 668 672 690 703
90 68 27 940 950 690 698
92 8 8 92 97 692 694
95 1 1 1304 1304 695 695
96 8 8 133 136 696 698
97 13 13 211 217 696 701
98 1 1 225 225 696 696
99 8 8 40 41 697 703
100 3 3 143 144 697 698
102 122 86 629 667 697 705
103 3 3 677 677 697 699
106 50 29 86 98 699 707
108 1 1 32 32 700 700
115 1 1 131 131 701 701
117 1 1 130 130 702 702
118 2 2 143 144 702 702
119 3 3 212 214 702 702
120 3 3 294 294 702 704
121 1 1 298 298 702 702
123 4 4 300 303 703 703
126 19 17 79 84 704 709
128 1 1 114 114 704 704
129 62 39 933 938 704 720
130 37 24 964 971 704 713
133 1 1 207 207 705 705
134 2 2 70 70 706 707
135 1 1 74 74 706 706
137 12 12 315 321 707 711
138 1 1 66 66 708 708
139 1 1 927 927 708 708
140 1 1 65 65 709 709
142 1 1 962 962 710 710
144 1 1 960 960 711 711
145 1 1 169 169 712 712
146 1 1 846 846 712 712
148 1 1 781 781 713 713
149 124 70 948 962 713 735
151 1 1 963 963 714 714
152 1 1 288 288 716 716
153 10 9 279 283 717 720
154 7 7 603 605 717 719
156 9 9 171 174 718 721
158 2 2 599 599 718 719
160 1 1 609 609 718 718
161 1 1 625 625 718 718
163 108 47 62 78 719 728
164 104 44 79 97 719 727
166 1 1 166 166 719 719
167 1 1 624 624 719 719
169 148 74 153 173 720 736
172 1 1 60 60 722 722
173 1 1 570 570 722 722
174 1 1 58 58 723 723
175 2 2 948 948 723 724
178 556 194 768 863 725 743
179 7 7 56 57 726 729
180 37 29 110 118 726 737
183 1 1 47 47 727 727
189 1 1 119 119 728 728
195 137 38 1060 1076 731 740
196 10 10 26 32 732 733
199 111 36 986 1001 732 740
201 17 13 183 189 733 735
202 3 3 629 629 733 735
208 2 2 509 509 734 735
213 98 36 1195 1210 734 742
214 3 3 81 82 735 736
215 11 11 97 103 735 737
217 101 39 1148 1164 735 741
219 4 4 5 6 736 737
220 3691 1261 2 221 736 804
224 2 2 951 951 736 737
229 3 3 94 95 737 738
