# label area perimeter xmin xmax ymin ymax width height spatial_area pass_area pass_dims pass_pix_area pass_aspect pass_circ pass_fill pass_fill_min
364 4722 657 1255 1577 769 829 323 61 19703 1 1 1 0 1 1 1
427 4641 1130 2 350 782 841 349 60 20940 1 1 1 0 0 1 1
220 3691 1261 2 221 736 804 220 69 15180 1 1 1 0 0 1 1
258 2110 527 523 749 744 782 227 39 8853 1 1 1 0 0 1 1
15 959 299 1789 1835 593 643 47 51 2397 1 1 1 1 1 1 1
9 814 101 488 520 453 482 33 30 990 1 1 1 1 1 0 1
178 556 194 768 863 725 743 96 19 1824 1 0 1 0 1 1 1
317 526 164 319 366 759 788 48 30 1440 1 0 1 0 1 1 1
360 469 132 457 510 769 789 54 21 1134 1 0 1 0 1 1 1
538 212 78 1692 1728 817 827 37 11 407 1 0 0 0 1 1 1
544 195 98 608 647 819 828 40 10 400 1 0 0 0 1 1 1
34 178 43 919 932 627 641 14 15 210 0 0 0 1 1 0 1
387 152 96 2 21 775 797 20 23 460 1 0 0 1 1 1 1
557 150 91 1740 1786 823 826 47 4 188 0 0 0 0 1 0 1
169 148 74 153 173 720 736 21 17 357 1 0 0 1 1 1 1
24 141 77 1416 1426 602 635 11 34 374 1 0 0 0 1 1 1
352 141 84 270 307 768 779 38 12 456 1 0 0 0 1 1 1
195 137 38 1060 1076 731 740 17 10 170 0 0 0 0 1 0 1
75 136 60 1292 1304 679 697 13 19 247 0 0 0 0 1 1 1
149 124 70 948 962 713 735 15 23 345 1 0 0 0 1 1 1
102 122 86 629 667 697 705 39 9 351 1 0 0 0 1 1 1
64 118 76 109 124 671 689 16 19 304 1 0 0 1 1 1 1
363 112 38 1066 1078 769 781 13 13 169 0 0 0 1 1 0 1
199 111 36 986 1001 732 740 16 9 144 0 0 0 0 1 0 1
163 108 47 62 78 719 728 17 10 170 0 0 0 0 1 0 1
454 106 76 725 766 789 794 42 6 252 0 0 0 0 1 1 1
164 104 44 79 97 719 727 19 9 171 0 0 0 0 1 0 1
217 101 39 1148 1164 735 741 17 7 119 0 0 0 0 1 0 1
213 98 36 1195 1210 734 742 16 9 144 0 0 0 0 1 0 1
54 83 51 87 103 660 674 17 15 255 0 0 0 1 1 1 1
65 70 46 67 87 673 681 21 9 189 0 0 0 0 1 1 1
90 68 27 940 950 690 698 11 9 99 0 0 0 1 1 0 1
129 62 39 933 938 704 720 6 17 102 0 0 0 0 1 0 1
610 58 48 8 33 877 884 26 8 208 0 0 0 0 1 1 1
486 53 53 1025 1071 796 799 47 4 188 0 0 0 0 1 1 1
106 50 29 86 98 699 707 13 9 117 0 0 0 0 1 1 1
248 50 37 750 766 742 746 17 5 85 0 0 0 0 1 1 1
261 45 24 2 7 745 753 6 9 54 0 0 0 0 1 0 1
380 45 38 1444 1462 773 776 19 4 76 0 0 0 0 1 1 1
235 40 24 141 149 739 747 9 9 81 0 0 0 1 1 1 1
3 39 30 400 403 162 176 4 15 60 0 0 0 0 1 0 1
130 37 24 964 971 704 713 8 10 80 0 0 0 1 1 1 1
180 37 29 110 118 726 737 9 12 108 0 0 0 1 1 1 1
301 37 27 172 177 755 768 6 14 84 0 0 0 0 1 1 1
523 35 28 451 466 811 813 16 3 48 0 0 0 0 1 0 1
593 35 22 34 42 848 853 9 6 54 0 0 0 0 1 0 1
250 29 20 10 14 743 752 5 10 50 0 0 0 0 1 1 1
39 28 19 132 136 636 643 5 8 40 0 0 0 0 1 0 1
89 23 20 668 672 690 703 5 14 70 0 0 0 0 1 1 1
589 23 23 537 549 841 847 13 7 91 0 0 0 0 1 1 1
42 21 17 89 95 640 644 7 5 35 0 0 0 0 1 1 1
45 20 16 122 128 642 647 7 6 42 0 0 0 1 1 1 1
494 20 20 78 97 799 799 20 1 20 0 0 0 0 1 0 1
567 20 17 135 143 828 831 9 4 36 0 0 0 0 1 1 1
55 19 15 1265 1272 661 665 8 5 40 0 0 0 0 1 1 1
126 19 17 79 84 704 709 6 6 36 0 0 0 1 1 1 1
201 17 13 183 189 733 735 7 3 21 0 0 0 0 1 0 1
